NUMBER	FGLOSS	GLOSS	COVERAGE
266	to deliver	deliver	8
267	to descend	descend	14
268	to die	die	19
269	to die out (fire)	die out (fire)	7
270	to dig	dig	13
271	to dig out with finger	dig out with finger	7
272	to dream	dream	20
273	to drink	drink	13
274	to drive a car	drive a car	7
275	to drive away	drive away	8
276	to dry in the sun or air	dry in sun or air	14
277	to dry near fire	dry near fire	14
278	to eat	eat	16
279	to expel	expel	6
280	to fall	fall	15
281	to fall asleep	fall asleep	7
282	to fear	fear	9
283	to fetch	fetch	7
284	to fight	fight	13
285	to float	float	12
286	to flow	flow	11
287	to fly	fly	13
288	to forget	forget	12
289	to give	give	8
290	to give birth	give birth	16
291	to give out	give out	6
292	to grind	grind	13
293	to hear	hear	13
294	to hide	hide	13
295	to hit (target)	hit (target)	14
296	to hold	hold	14
297	to hold (past tense)	hold (past tense)	7
298	to hold a meeting	hold a meeting	6
299	to hold in arms	hold in arms	14
300	to hold in the mouth	hold in mouth	15
301	to hunt	hunt	12
302	to kick	kick	14
303	to kill	kill	13
304	to know	know	15
305	to laugh	laugh	16
306	to lick	lick	18
307	to lie (on the floor)	lie (on floor)	7
308	to live	live	7
309	to pack	pack	7
310	to piss	piss	6
311	to place	place	8
312	to play	play	13
313	to pour out	pour out	7
314	to pull	pull	15
315	to pull (cow)	pull (cow)	7
316	to pull down	pull down	7
317	to pull out	pull out	14
318	to pull over oneself	pull over oneself	7
319	to pull up (weeds)	pull up (weeds)	7
320	to push	push	14
321	to push down	push down	7
322	to put	put	13
323	to put away	put away	8
324	to put in	put in	7
325	to put on	put on	14
326	to put one's hand on	put one's hand on	7
327	to put out to pasture	put out pasture	7
328	to rain	rain	18
329	to rease	rease	6
330	to reside	reside	13
331	to run	run	15
332	to say	say	10
333	to scratch	scratch	12
334	to see	see	18
335	to sell	sell	15
336	to sew	sew	11
337	to shoot	shoot	15
338	to sing	sing	12
339	to sit	sit	8
340	to sit down	sit down	7
341	to sleep	sleep	19
342	to smell	smell	17
343	to spit	spit	17
344	to split	split	8
345	to squeeze	squeeze	7
346	to stab	stab	7
347	to stand	stand	19
348	to steal	steal	15
349	to suck	suck	11
350	to sweat	sweat	13
351	to swell	swell	16
352	to swim	swim	7
353	to think (reflect)	think (reflect)	14
354	to throw	throw	15
355	to tie into a bundle	tie ina bundle	6
356	to tie up	tie up	7
357	to turn	turn	7
358	to turn around	turn around	7
359	to turn one's head to the back	turn one's head back	6
360	to turn over	turn over	7
361	to vomit	vomit	18
362	to walk	walk	14
363	to warm oneself	warm oneself	8
364	to warm oneself warm	warm oneself warm	7
365	to wash something	wash something	15
366	to weave	weave	15
367	to wind	wind	7
368	to wipe	wipe	16
369	to wring	wring	6
370	tomorrow night	tomorrow night	7
371	twenty	twenty	14
372	two	two	15
373	warm	warm	12
374	we	we	14
375	we (inclusive)	we (inclusive)	13
376	we two	we two	10
377	wet	wet	12
378	what?	what?	14
379	when?	when?	7
380	where?	where?	14
381	white	white	12
382	who?	who?	15
383	wide	wide	14
384	yellow	yellow	11
385	yesterday night	yesterday night	7
386	you	you	12
387	you two	you two	8
