ID	CDDB
Achang (Longchuan)	Achang_Longchuan
Achang (Xiandao)	Xiandao
Bola (Luxi)	Bola
Burmese (Rangoon)	Rangoon
Burmese (Written)	Written_Burmese
Leqi (Luxi)	Lashi
Langsu (Luxi)	Maru
Atsi [Zaiwa]	Atsi
