ID	COGID	POS	ALIGNMENT	CONCEPT	DOCULECT	ORIGINAL_CONCEPT	STEDT_SRCID	ORIGINAL_TAXNAME	ORIGINAL_ENTRY	MORPHEMES	NOTE	COGIDS	SOURCE	STEDT_GLOSS	CONCEPTICON_ID	STEDT_REFLEX	IPA	STEDT_CONCEPT	TOKENS	STEDT_RN
672	169	other	k ʐ u a t ⁵⁵	cold (of temperature)	Achang_Longchuan	cold (weather, water)	1063.28	Achang (Longchuan) TBL	kʐuat⁵⁵  | 1063.28	cold	bad concept	153	TBL		1287	kʐuat⁵⁵	kʐuat⁵⁵	cold (water)	k ʐ u a t ⁵⁵	399719
674	169	other	k j o - ʔ ²¹	cold (of temperature)	Atsi	cold (weather, water)	1063.30	Atsi [Zaiwa] TBL	kjoʔ²¹  | 1063.30	cold	bad concept	153	TBL		1287	kjoʔ²¹	kjoʔ²¹	cold (water)	k j o ʔ ²¹	399721
675	169	other	k j a - ʔ ³¹	cold (of temperature)	Bola	cold (weather, water)	1063.32	Bola (Luxi) TBL	kjaʔ³¹  | 1063.32	cold	bad concept	153	TBL		1287	kjaʔ³¹	kjaʔ³¹	cold (water)	k j a ʔ ³¹	399723
676	214	other	ŋ aː m ⁵⁵	cold (of temperature)	Lashi	cold (weather, water)	1063.33	Leqi (Luxi) TBL	ŋaːm⁵⁵  | 1063.33	cold	bad concept	1031	TBL		1287	ŋaːm⁵⁵	ŋaːm⁵⁵	cold (water)	ŋ aː m ⁵⁵	399724
677	169	other	k j ɔ - ʔ ³¹	cold (of temperature)	Maru	cold (weather, water)	1063.31	Langsu (Luxi) TBL	kjɔʔ³¹  | 1063.31	cold	bad concept	153	TBL		1287	kjɔʔ³¹	kjɔʔ³¹	cold (water)	k j ɔ ʔ ³¹	399722
678	169	other	k ʐ o - t ⁵⁵	cold (of temperature)	Xiandao	cold (weather, water)	1063.29	Achang (Xiandao) TBL	kʐot⁵⁵  | 1063.29	cold	bad concept	153	TBL		1287	kʐot⁵⁵	kʐot⁵⁵	cold (water)	k ʐ o t ⁵⁵	399720
686	1144	verb	ʐ ə ³⁵	to come	Achang_Longchuan	come v.	1491.28	Achang (Longchuan) TBL	ʐə³⁵  | 1491.28	come		157	TBL		1446	ʐə³⁵	ʐə³⁵	come	ʐ ə ³⁵	419016
689	621	verb	l e ⁵⁵	to come	Atsi	come v.	1491.30	Atsi [Zaiwa] TBL	le⁵⁵  | 1491.30	come		157	TBL		1446	le⁵⁵	le⁵⁵	come	l e ⁵⁵	419018
691	621	verb	l a ⁵⁵	to come	Bola	come v.	1491.32	Bola (Luxi) TBL	la⁵⁵  | 1491.32	come		157	TBL		1446	la⁵⁵	la⁵⁵	come	l a ⁵⁵	419020
694	621	verb	l eː ⁵⁵	to come	Lashi	come v.	1491.33	Leqi (Luxi) TBL	leː⁵⁵  | 1491.33			157	TBL		1446	leː⁵⁵	leː⁵⁵	come	l eː ⁵⁵	419021
695	621	verb	l i ⁵⁵	to come	Maru	come v.	1491.31	Langsu (Luxi) TBL	li⁵⁵  | 1491.31	come		157	TBL		1446	lɔ³¹	li⁵⁵	come	l i ⁵⁵	419019
697	621	verb	l ɔ ⁵⁵	to come	Xiandao	come v.	1491.29	Achang (Xiandao) TBL	lɔ⁵⁵  | 1491.29	come		157	TBL		1446	lɔ⁵⁵	lɔ⁵⁵	come	l ɔ ⁵⁵	419017
738	634	verb	a n ³⁵	to count	Achang_Longchuan	count v. 2	1640.28	Achang (Longchuan) TBL	an³⁵  | 1640.28			167	TBL		1420	an³⁵	an³⁵	count (numbers)	a n ³⁵	426045
740	632	verb	ŋ a̰ p ⁵⁵	to count	Atsi	count v. 1	1640.30	Atsi [Zaiwa] TBL	ŋa̱p⁵⁵  | 1640.30	count		168	TBL		1420	ŋa̱p⁵⁵	ŋa̱p⁵⁵	count (numbers)	ŋ a̰ p ⁵⁵	426047
741	632	verb	ŋ ɛ̰ ʔ ⁵⁵	to count	Bola	count v. 1	1640.32	Bola (Luxi) TBL	ŋɛ̱ʔ⁵⁵  | 1640.32	count		168	TBL		1420	ŋɛ̱ʔ⁵⁵	ŋɛ̱ʔ⁵⁵	count (numbers)	ŋ ɛ̰ ʔ ⁵⁵	426049
743	632	verb	ŋ a̰ː p ⁵⁵	to count	Lashi	count v. 1	1640.33	Leqi (Luxi) TBL	ŋa̱ːp⁵⁵  | 1640.33			168	TBL		1420	ŋa̱ːp⁵⁵	ŋa̱ːp⁵⁵	count (numbers)	ŋ a̰ː p ⁵⁵	426050
744	632	verb	ŋ ɛ̰ ʔ ⁵⁵	to count	Maru	count v. 1	1640.31	Langsu (Luxi) TBL	ŋɛ̱ʔ⁵⁵  | 1640.31	count		168	TBL		1420	ŋɛ̱ʔ⁵⁵	ŋɛ̱ʔ⁵⁵	count (numbers)	ŋ ɛ̰ ʔ ⁵⁵	426048
745	634	verb	a n ³⁵	to count	Xiandao	count v. 2	1640.29	Achang (Xiandao) TBL	an³⁵  | 1640.29	count		167	TBL		1420	an³⁵	an³⁵	count (numbers)	a n ³⁵	426046
888	670	verb	ʃ ɿ - - ⁵⁵	to die	Bola	die	1651.32	Bola (Luxi) TBL	ʃɿ⁵⁵  | 1651.32	die		199	TBL		1494	ʃɿ⁵⁵	ʃɿ⁵⁵	die	ʃ ɿ ⁵⁵	426591
893	670	verb	ʃ eː i - ³³	to die	Lashi	die	1651.33	Leqi (Luxi) TBL	ʃeːi³³  | 1651.33	die		199	TBL		1494	ʃeːi³³	ʃeːi³³	die	ʃ eː i ³³	426592
