ID	COGID	POS	ALIGNMENT	CONCEPT	DOCULECT	ORIGINAL_CONCEPT	STEDT_SRCID	ORIGINAL_TAXNAME	ORIGINAL_ENTRY	MORPHEMES	NOTE	COGIDS	SOURCE	STEDT_GLOSS	CONCEPTICON_ID	STEDT_REFLEX	IPA	STEDT_CONCEPT	TOKENS	STEDT_RN
331	133	noun	ŋ ɔ̰ ʔ ⁵⁵	the bird	Lashi	bird	0326.33	Leqi (Luxi) TBL	ŋɔ̱ʔ⁵⁵  | 0326.33	bird		87	TBL		937	ŋɔ̱ʔ⁵⁵	ŋɔ̱ʔ⁵⁵	bird	ŋ ɔ̰ ʔ ⁵⁵	361997
332	133	noun	ŋ ɔ̰ ʔ ⁵⁵	the bird	Maru	bird	0326.31	Langsu (Luxi) TBL	ŋɔ̱ʔ⁵⁵  | 0326.31	bird		87	TBL		937	ŋɔ̱ʔ⁵⁵	ŋɔ̱ʔ⁵⁵	bird	ŋ ɔ̰ ʔ ⁵⁵	361995
334	133	noun	ŋ̊ ɔ ʔ ⁵⁵	the bird	Xiandao	bird	0326.29	Achang (Xiandao) TBL	ŋ̊ɔʔ⁵⁵  | 0326.29	bird		87	TBL		937	ŋ̊ɔʔ⁵⁵	ŋ̊ɔʔ⁵⁵	bird	ŋ̊ ɔ ʔ ⁵⁵	361993
343	594	verb	p ɛ̃ ∼ ³¹	to bite	Bola	bite v.	1753.32	Bola (Luxi) TBL	pɛ̃³¹  | 1753.32	bite	bad concept	89	TBL		1403	pɛ̃³¹	pɛ̃³¹	bite	p ɛ̃ ∼ ³¹	431353
348	594	verb	p ə ŋ ³⁵	to bite	Maru	bite v.	1753.31	Langsu (Luxi) TBL	pəŋ³⁵  | 1753.31	bite	bad concept	89	TBL		1403	pəŋ³⁵	pəŋ³⁵	bite	p ə ŋ ³⁵	431352
350	595	verb	ŋ aː t ³¹	to bite	Lashi	bite v.	1753.33	Leqi (Luxi) TBL	ŋaːt³¹  | 1753.33		bad concept	1024	TBL		1403	ŋaːt³¹	ŋaːt³¹	bite	ŋ aː t ³¹	431354
367	125	other	l ɔ k ⁵⁵	black	Achang_Longchuan	black	1005.28	Achang (Longchuan) TBL	lɔk⁵⁵  | 1005.28	black		92	TBL		163	lɔk⁵⁵	lɔk⁵⁵	black	l ɔ k ⁵⁵	396805
369	111	other	n o ʔ ²¹	black	Atsi	black	1005.30	Atsi [Zaiwa] TBL	noʔ²¹  | 1005.30	black		92	TBL		163	noʔ²¹	noʔ²¹	black	n o ʔ ²¹	396807
370	111	other	n a ʔ ³¹	black	Bola	black	1005.32	Bola (Luxi) TBL	naʔ³¹  | 1005.32	black		92	TBL		163	naʔ³¹	naʔ³¹	black	n a ʔ ³¹	396809
373	111	other	n ɔː ʔ ³¹	black	Lashi	black	1005.33	Leqi (Luxi) TBL	nɔːʔ³¹  | 1005.33	black		92	TBL		163	nɔːʔ³¹	nɔːʔ³¹	black	n ɔː ʔ ³¹	396810
374	111	other	n ɔ ʔ ³¹	black	Maru	black	1005.31	Langsu (Luxi) TBL	nɔʔ³¹  | 1005.31	black		92	TBL		163	nɔʔ³¹	nɔʔ³¹	black	n ɔ ʔ ³¹	396808
375	111	other	n ɔ ʔ ⁵⁵	black	Xiandao	black	1005.29	Achang (Xiandao) TBL	nɔʔ⁵⁵  | 1005.29	black		92	TBL		163	nɔʔ⁵⁵	nɔʔ⁵⁵	black	n ɔ ʔ ⁵⁵	396806
383	1148	noun	s - u i ³⁵	the blood	Bola	blood	0129.32	Bola (Luxi) TBL	sui³⁵  | 0129.32	blood		93	TBL		946	sui³⁵	sui³⁵	blood	s u i ³⁵	351653
389	1148	noun	s - a - ³⁵	the blood	Maru	blood	0129.31	Langsu (Luxi) TBL	sa³⁵  | 0129.31			93	TBL		946	sa³⁵	sa³⁵	blood	s a ³⁵	351652
406	601	verb	x ʐ a u ʔ ³⁵	to blow (of wind)	Achang_Longchuan	blow nose	1738.28	Achang (Longchuan) TBL	xʐauʔ³⁵  | 1738.28			9	TBL		175	xʐauʔ³⁵	xʐauʔ³⁵	blow (one's nose)	x ʐ a u ʔ ³⁵	430649
407	601	verb	kʰ j u i - ²¹	to blow (of wind)	Atsi	blow nose	1738.30	Atsi [Zaiwa] TBL	khjui²¹  | 1738.30	blow-intr-2		9	TBL		175	khjui²¹	khjui²¹	blow (one's nose)	kʰ j u i ²¹	430651
