ID	CONTEXT	Achang_Longchuan	Atsi	Bola	Lashi	Maru	Old_Burmese	Rangoon	Xiandao	FREQUENCY	PROTO
84	i	s	s	ʃ	s	ʃ	s	tθ	s	1	*ʃ	
85	i	l̥	l	l	l	l	l	l	l	1	*l	
86	i	m̥	ŋ	ŋ	ŋ	ŋ	ŋ̊	ŋ̊	ŋ̊	1	ŋ	
87	i	k	Ø	ɣ	k	ɣ	k	tɕ	k	1	*k	
88	i	Ø	Ø	tʰ	tsʰ	Ø	Ø	Ø	tsʰ	1	*tsʰ	
89	i	n	m	Ø	m	m	Ø	m	n̥	1	m	
90	i	tɕʰ	ts	ts	ts	ts	tsʰ	sʰ	cʰ	1	ts	
91	i	n	n	n	ŋ	n	Ø	Ø	n	1	n	
92	i	Ø	m	Ø	m	m̥	Ø	m̥	Ø	1	*m	
93	i	t	Ø	Ø	t	t	tʰ	t	t	1	t	
94	i	Ø	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	sʰ	Ø	1	*tsʰ	
95	i	nʲ	ŋ	n	ŋ	n	n	n̥	n	1	*ŋ	
96	i	ɕ	ʃ	ʃ	j	ʃ	l̥	ɕ	ç	1	ʃ	
97	i	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ̊	1	*ŋ	
98	i	Ø	pʰ	p	p	p	p	Ø	pʰ	1	p	
99	i	ts	tʃ	tʃ	tʃ	tʃ	Ø	t	ts	1	*tʃ	
100	i	Ø	j	n	j	ŋ	Ø	Ø	ɲ̊	1	j	
101	i	-	v	v	v	v	w	w	-	1	v	
102	i	Ø	Ø	k	k	k	kʰ	kʰ	x	1	k	
103	i	s	s	s	s	s	s	tθ	ʂ	1	s	
104	i	n̥ʲ	j	j	ŋ	j	Ø	Ø	ɲ̊	1	j	
105	i	kʰ	k	k	k	k	Ø	Ø	kʰ	1	k	
106	i	kʰ	k	k	k	k	k	tɕ	tsʰ	1	*k	
1	m	-	j	j	j	j	-	-	-	16	*j	
2	m	-	j	j	j	j	r	-	-	2	*r	
3	m	Ø	j	j	Ø	j	j	-	Ø	2	*j	
4	m	-	j	-	j	j	-	-	-	6	*j	
5	m	-	j	j	j	j	j	j	-	3	*j	
6	m	ʐ	j	j	j	j	r	-	ʐ	5	*r	
7	m	ʐ	j	j	j	j	r	j	ʐ	3	*r	
8	m	ʐ	j	j	j	j	r	-	-	2	*r	
9	m	-	-	-	-	-	-	w	-	9	-	
10	m	u	-	-	-	-	-	Ø	-	2	-	
11	m	-	j	j	j	-	-	-	-	3	*j	
12	m	-	-	-	j	-	Ø	Ø	-	2	*j	
13	m	-	j	-	j	-	-	-	-	2	*j	
14	m	u	-	-	-	-	-	-	-	3	-	
15	m	u	-	-	j	-	-	-	-	2	-	
16	m	Ø	j	-	-	-	Ø	Ø	Ø	2	*j	
17	m	-	-	-	-	-	j	-	-	4	*j	
18	m	ʐ	-	-	j	-	r	w	ʐ	2	-	
19	m	ʐ	-	-	-	-	rj	j	-	2	-	
20	m	-	j	-	j	j	l	j	-	1	*l	
21	m	Ø	-	j	-	j	Ø	Ø	-	1	*j	
22	m	ʐ	j	j	j	j	l	j	-	1	j	
23	m	-	j	-	-	j	-	-	-	1	*j	
24	m	Ø	-	Ø	Ø	-	-	ɑ	Ø	1	-	
25	m	-	-	-	u	-	-	-	-	1	-	
26	m	ʐ	-	-	j	-	r	-	-	1	*r	
27	m	Ø	-	-	Ø	ɤ	Ø	Ø	Ø	1	-	
28	m	ʐ	j	j	j	j	l	j	ʐ	1	j	
29	m	Ø	j	-	j	j	r	j	Ø	1	*r	
30	m	-	-	-	-	-	l	-	-	1	-	
1	M	u	-	-	-	-	-	-	-	1	-	
1	n	a	a	a	a	a	a	ɑ	a	17	*a	
2	n	Ø	o	a	o	ɔ	a	ɑ	Ø	7	o	
3	n	ɔ	o	a	ɔ	ɔ	a	ɛ	ɔ	11	ɔ	
4	n	a	o	a	o	ɔ	a	ɑ	ɔ	3	a	
5	n	a	a	Ø	a	ɛ̰	Ø	Ø	a	2	a	
6	n	ɔ	o	a	o	ɔ	a	ɑ	ɔ	4	ɔ	
7	n	Ø	a	a	a̰	ɔ	Ø	Ø	Ø	2	a	
8	n	ɔ	o	a	ɔː	ɔ	a	ɛ	ɔ	6	ɔ	
9	n	ɔ	o	a	ɔː	ɔ	a	ɑ	ɔ	2	ɔ	
10	n	Ø	u	a	u	ɔ	Ø	Ø	Ø	2	u	
11	n	a	i	Ø	ɛ	Ø	Ø	Ø	a	2	a	
12	n	Ø	a	ɛ	a	ɛ	Ø	Ø	Ø	3	a	
13	n	Ø	i	a	ə	a	Ø	Ø	Ø	2	a	
14	n	a	a	a	o	u	Ø	Ø	a	2	a	
15	n	Ø	a	ɔ̃	a	ɔ̃	Ø	Ø	Ø	2	a	
16	n	a	a	a	o	u	ə	o	a	5	a	
17	n	a	a	ɔ̃	aː	ɔ̃	Ø	Ø	a	2	a	
18	n	a	a	ɛ̃	aː	a	Ø	Ø	Ø	2	a	
19	n	a	u	u	aː	u	Ø	Ø	Ø	3	u	
20	n	Ø	a	ă	ă	Ø	a	Ø	a	2	a	
21	n	a	a	ɔ̃	a	ɔ̃	a	ĩ	ɔ	5	a	
22	n	ə	i	a	əː	a	a	i	ɤ	5	a	
23	n	u	o	a	ṵ	ɔ	Ø	Ø	o	2	o	
24	n	u	Ø	a	Ø	Ø	u	o	u	3	u	
25	n	u	u	a	u	a	Ø	Ø	u	3	u	
26	n	Ø	i	a	e	a	Ø	Ø	i	2	i	
27	n	a	a	Ø	a	Ø	u	u	a	2	a	
28	n	Ø	ŏ	ă	ŏ	ɔ̆	Ø	ɑ	Ø	3	ŏ	
29	n	a	a	ɛ	a	ɛ	Ø	ɛ	a	2	a	
30	n	Ø	e	ɛ	a̰ː	ɛ	Ø	Ø	a	2	ɛ	
31	n	i	i	i	i	i	i	i	i	6	*i	
32	n	Ø	Ø	u	o	u	ə	o	Ø	2	u	
33	n	a	ĕ	ɛ	Ø	ɛ	a	a	a	2	a	
34	n	u	u	u	u	a	u	e	u	4	u	
35	n	i	Ø	ɛ	Ø	ɛ	i	e	n	2	i	
36	n	u	u	a	u	a	i	e	o	2	u	
37	n	a	a	a	aː	u	ə	o	a	2	a	
38	n	o	a	ɛ	a	ɛ	i	i	a	2	a	
39	n	e	e	Ø	Ø	Ø	i	i	ɛ	2	e	
40	n	a	a̰	ɛ̰̃	a̰	a̰	a	ĩ	a	4	a	
41	n	a	ṵ	a	ɔ̰	a	a	ɛ	Ø	2	a	
42	n	o	o	ɔ	Ø	u	o	ɑ̃	Ø	3	o	
43	n	o	o	ɔ	ĭ	u	o	ɛ	o	2	o	
44	n	i	a̰	ɛ̰	a̰ː	ɛ̰	Ø	i	ɛ	4	i	
45	n	Ø	ṵ	a̰	ṵː	a̰	ʊ	ɑ	Ø	3	a̰	
46	n	Ø	ṵ	a̰	ɔ̰	a̰	Ø	õ	Ø	3	a̰	
47	n	u	u	a	ɔ	a	u	õ	u	2	u	
