ID	CONTEXT	Achang_Longchuan	Atsi	Bola	Lashi	Maru	Old_Burmese	Rangoon	Xiandao	FREQUENCY	INFERRED	PROTO	COGNATES
3	N	-	i	i	i	-	-	-	-	8	-		684, 92, 807, 167, 155, 675, 150, 27
4	N	-	-	-	i	-	-	-	-	8	-		250, 526, 613, 160, 533, 504, 177, 524
5	N	i	-	Ø	-	Ø	Ø	Ø	i	2	i		459, 89
6	N	i	i	i	i	-	-	-	i	2	i		543, 198
7	N	a	-	-	Ø	-	-	-	-	2	-		146, 387
8	N	-	i	i	-	i	-	-	-	6	-		55, 578, 303, 497, 234, 590
9	N	u	i	-	u	-	-	-	u	4	-		111, 110, 444, 94
10	N	i	i	i	-	i	Ø	Ø	i	2	i		113, 21
11	N	-	Ø	i	-	-	-	-	-	2	-		292, 66
12	N	-	-	i	-	i	Ø	-	-	2	-		437, 319
13	N	u	-	Ø	-	Ø	-	i	u	2	-		612, 183
14	N	u	-	i	-	-	-	-	-	2	-		275, 129
15	N	-	i	-	i	-	-	-	i	2	-		199, 428
16	N	i	i	-	-	i	-	-	i	3	i		127, 225, 301
17	N	-	-	-	-	u	-	-	-	5	-		74, 452, 555, 244, 182
18	N	u	u	-	u	-	-	-	u	2	u		15, 343
19	N	i	u	u	u	-	-	-	i	2	u		321, 414
20	N	-	-	i	-	-	Ø	-	i	1	-		502
21	N	-	-	i	i	-	-	-	-	1	-		327
22	N	-	-	-	Ø	-	-	-	i	1	-		161
23	N	Ø	-	Ø	i	i	Ø	Ø	Ø	1	i		847
24	N	-	-	-	i	-	Ø	i	-	1	-		2
25	N	u	-	-	u	-	-	-	u	1	-		222
26	N	-	-	u	-	-	Ø	Ø	-	1	-		237
27	N	-	i	i	i	-	-	-	i	1	-		490
1	c	ʔ	ʔ	ʔ	ʔ	ʔ	k	ʔ	ʔ	21	*k		201, 367, 486, 569, 584, 673, 103, 284, 520, 80, 26, 671, 117, 119, 323, 565, 510, 204, 639, 501, 496
2	c	-	-	-	-	k	j	-	-	19	-		111, 226, 414, 164, 807, 504, 513, 53, 446, 327, 250, 269, 266, 684, 638, 321, 23, 155, 177
3	c	-	-	-	-	-	j	-	-	13	*j		199, 428, 92, 303, 490, 292, 127, 95, 533, 578, 198, 310, 129
4	c	-	-	-	-	k	w	-	-	7	-		503, 397, 417, 380, 122, 110, 343
5	c	ŋ	ŋ	∼	ŋ	∼	ŋ	∼	ŋ	15	*ŋ		485, 58, 282, 51, 772, 259, 432, 445, 547, 528, 612, 137, 138, 65, 842
6	c	ŋ	ŋ	ŋ	ŋ	ŋ	nʲ	-	ŋ	14	ŋ		229, 534, 833, 657, 399, 571, 285, 564, 767, 499, 307, 235, 365, 402
7	c	Ø	Ø	ʔ	ʔ	ʔ	-	ʔ	Ø	3	ʔ		416, 213, 265
8	c	ʔ	-	-	-	k	Ø	-	-	5	-		238, 615, 195, 157, 94
9	c	ʔ	-	-	-	-	j	-	-	3	-		161, 275, 555
10	c	-	-	-	-	k	-	-	-	3	-		160, 385, 404
11	c	t	ʔ	ʔ	Ø	ʔ	-	ʔ	t	2	ʔ		146, 387
12	c	ŋ	ŋ	∼	ŋ	∼	-	∼	ŋ	2	*ŋ		494, 176
13	c	Ø	-	-	k	-	Ø	Ø	Ø	2	-		489, 134
14	c	p	p	ʔ	p	ʔ	p	ʔ	p	9	*p		124, 291, 764, 153, 531, 527, 672, 231, 100
15	c	m	m	m	m	m	m	∼	m	10	*m		488, 453, 430, 680, 344, 471, 143, 97, 757, 216
16	c	n	n	∼	n	ŋ	ŋ	∼	n	9	*n		13, 220, 570, 518, 125, 75, 573, 487, 442
17	c	n	Ø	∼	n	Ø	n	∼	n	2	*n		614, 59
18	c	k	k	k	k	k	ts	ʔ	k	7	*k		133, 215, 325, 175, 219, 115, 434
19	c	ʔ	-	ʔ	Ø	ʔ	Ø	-	ʔ	2	ʔ		167, 731
20	c	t	t	t	t	t	t	ʔ	t	7	*t		31, 205, 766, 493, 758, 551, 659
21	c	n	n	n	n	ŋ	n	∼	n	5	*n		433, 734, 151, 821, 554
22	c	Ø	Ø	∼	m	∼	Ø	∼	Ø	2	*m		836, 466
23	c	-	-	ŋ	ŋ	ŋ	Ø	Ø	-	2	-		102, 183
24	c	Ø	ʔ	ʔ	k	k	k	ʔ	Ø	4	*k		483, 207, 654, 16
25	c	m	m	∼	m	∼	m	∼	Ø	2	*m		775, 287
26	c	ʔ	-	∼	-	-	-	-	-	2	-		69, 114
27	c	ʔ	t	ʔ	t	ʔ	Ø	ʔ	ʔ	2	*t		512, 257
28	c	Ø	-	-	-	-	ŋ	∼	Ø	2	*ŋ		210, 536
29	c	-	ʔ	ʔ	ʔ	k	Ø	ʔ	ʔ	2	ʔ		197, 318
30	c	-	k	k	k	k	-	-	ʔ	2	k		429, 491
31	c	Ø	-	k	-	-	k	ʔ	Ø	2	-		178, 643
32	c	-	-	ŋ	-	k	w	-	-	2	-		222, 444
33	c	-	-	ʔ	-	-	w	-	-	2	-		484, 61
34	c	ʔ	-	-	k	k	Ø	-	-	1	-		502
35	c	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	∼	ŋ	1	*ŋ		203
36	c	ŋ	Ø	-	Ø	-	-	-	Ø	1	-		294
37	c	t	p	p	p	p	p	ʔ	n	1	p		200
38	c	Ø	t	t	t	k	Ø	Ø	Ø	1	t		87
39	c	p	ʔ	ʔ	p	ʔ	Ø	ʔ	Ø	1	*p		172
40	c	Ø	k	k	-	k	Ø	Ø	k	1	k		35
41	c	Ø	m	∼	-	∼	Ø	Ø	Ø	1	*m		778
42	c	Ø	ʔ	ʔ	ʔ	k	w	-	ʔ	1	ʔ		64
43	c	Ø	n	n	Ø	m	Ø	Ø	Ø	1	n		96
44	c	ʔ	Ø	ʔ	-	k	-	ʔ	ʔ	1	ʔ		541
45	c	ŋ	ŋ	ŋ	ŋ	∼	Ø	Ø	ŋ	1	*ŋ		237
46	c	Ø	ŋ	ŋ	ŋ	∼	Ø	Ø	ʔ	1	ŋ		507
47	c	ŋ	ŋ	∼	ŋ	∼	nʲ	Ø	ŋ	1	*ŋ		242
48	c	t	t	t	t	t	ts	ʔ	t	1	t		336
49	c	t	t	ʔ	t	ʔ	-	ʔ	ʈ	1	t		249
50	c	-	-	-	-	-	ts	ʔ	-	1	-		405
51	c	Ø	m	∼	m	m	Ø	Ø	Ø	1	*m		715
52	c	Ø	ʔ	ŋ	ŋ	ŋ	Ø	Ø	Ø	1	ŋ		705
53	c	ʔ	-	-	-	k	Ø	∼	-	1	*∼		2
54	c	ʔ	ʔ	ʔ	k	k	-	ʔ	ʔ	1	ʔ		403
55	c	t	t	ʔ	t	ʔ	t	ʔ	t	1	*t		166
56	c	Ø	-	-	-	-	n	∼	Ø	1	*n		225
57	c	ŋ	k	k	k	k	ts	ʔ	k	1	k		120
58	c	n	m	m	m	m	m	∼	n	1	*n		427
59	c	Ø	n	Ø	n	n	Ø	Ø	Ø	1	*n		813
60	c	k	ʔ	ʔ	ʔ	ʔ	k	ʔ	ʔ	1	*k		88
61	c	ŋ	ŋ	∼	ŋ	∼	ŋ	-	Ø	1	*ŋ		345
62	c	Ø	t	t	t	t	-	Ø	ʔ	1	t		196
63	c	-	p	p	p	p	p	ʔ	t	1	p		370
1	t	³¹	²¹	³⁵	⁵⁵	³⁵	⁵⁵	⁵⁵	³¹	37	⁵⁵		657, 847, 21, 92, 613, 452, 684, 163, 96, 751, 282, 449, 286, 37, 675, 564, 36, 545, 715, 546, 547, 285, 406, 734, 612, 34, 471, 543, 490, 442, 198, 108, 322, 243, 447, 109, 554
2	t	³¹	²¹	³¹	³³	³⁵	⁵⁵	⁵⁵	³¹	29	³¹		648, 135, 428, 221, 666, 210, 570, 280, 430, 50, 488, 772, 259, 635, 676, 208, 102, 528, 467, 95, 767, 182, 138, 211, 59, 345, 263, 239, 299
3	t	⁵⁵	⁵¹	⁵⁵	³³	³¹	-	²²	⁵⁵	33	⁵⁵		74, 55, 161, 226, 89, 842, 459, 614, 164, 811, 187, 472, 487, 53, 75, 634, 177, 234, 399, 61, 492, 833, 578, 466, 137, 775, 638, 427, 433, 813, 178, 287, 129
4	t	⁵⁵	⁵¹	⁵⁵	³¹	³¹	-	²²	⁵⁵	23	⁵⁵		199, 203, 503, 27, 328, 398, 220, 197, 58, 680, 821, 444, 111, 497, 292, 590, 113, 127, 365, 437, 757, 795, 155
5	t	⁵⁵	⁵¹	⁵⁵	³³	³¹	²²	²²	⁵⁵	5	⁵⁵		294, 29, 112, 180, 561
6	t	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	-	⁴	⁵⁵	27	⁵⁵		133, 31, 215, 205, 524, 336, 80, 325, 520, 654, 115, 117, 764, 672, 119, 183, 153, 219, 103, 231, 551, 483, 100, 323, 207, 26, 659
7	t	³¹	²¹	³¹	³¹	³¹	-	⁵³	³¹	25	³¹		491, 87, 577, 151, 486, 569, 671, 584, 762, 25, 731, 54, 386, 669, 525, 162, 320, 527, 631, 694, 691, 195, 565, 557, 496
8	t	⁵⁵	⁵¹	⁵⁵	³³	³¹	⁵⁵	⁵⁵	⁵⁵	3	⁵⁵		432, 573, 518
9	t	⁵⁵	⁵¹	⁵⁵	³¹	³¹	²²	²²	⁵⁵	2	⁵⁵		549, 326
10	t	⁵⁵	²¹	³¹	³¹	³¹	-	⁴	⁵⁵	11	³¹		146, 367, 35, 204, 257, 284, 88, 531, 800, 434, 172
11	t	³¹	Ø	⁵⁵	Ø	³¹	-	²²	³¹	2	³¹		23, 235
12	t	³¹	²¹	³¹	³³	³¹	-	⁵³	³¹	2	³¹		637, 360
13	t	⁵⁵	⁵¹	⁵⁵	³¹	³¹	Ø	⁵⁵	⁵⁵	2	⁵⁵		836, 319
14	t	³¹	²¹	³¹	³³	⁵⁵	⁵⁵	⁵⁵	³¹	6	³¹		513, 91, 397, 269, 250, 110
15	t	³¹	²¹	³¹	³³	³¹	⁵⁵	⁵⁵	³¹	3	³¹		39, 417, 227
16	t	³¹	⁵⁵	⁵⁵	⁵⁵	⁵⁵	Ø	Ø	³¹	2	⁵⁵		168, 468
17	t	Ø	Ø	³¹	³¹	³¹	k	⁴	Ø	2	³¹		416, 265
18	t	³¹	²¹	³¹	³¹	³¹	Ø	Ø	⁵⁵	2	³¹		673, 501
19	t	Ø	⁵⁵	³⁵	⁵⁵	⁵⁵	-	⁵³	Ø	7	⁵⁵		128, 244, 576, 134, 266, 173, 402
20	t	³¹	Ø	Ø	⁵⁵	Ø	Ø	⁵³	³⁵	3	³¹		238, 341, 157
21	t	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	t	⁴	⁵⁵	2	⁵⁵		387, 249
22	t	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	k	⁴	⁵⁵	2	⁵⁵		213, 403
23	t	³¹	⁵⁵	³¹	⁵⁵	⁵⁵	-	⁵³	Ø	4	⁵⁵		274, 458, 615, 308
24	t	³¹	²¹	³⁵	³³	³⁵	⁵⁵	⁵⁵	³¹	2	³¹		13, 78
25	t	³⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	-	Ø	Ø	2	⁵⁵		229, 123
26	t	³¹	⁵⁵	³⁵	⁵³	⁵⁵	Ø	⁵³	³¹	3	³¹		485, 555, 778
27	t	⁵³	⁵⁵	⁵⁵	⁵⁵	⁵⁵	-	⁴	⁵⁵	2	⁵⁵		493, 758
28	t	³¹	⁵⁵	³⁵	⁵⁵	⁵⁵	⁵³	⁵³	³⁵	3	⁵⁵		502, 533, 122
29	t	⁵⁵	⁵¹	⁵⁵	³³	⁵⁵	Ø	²²	⁵⁵	2	⁵⁵		504, 66
30	t	⁵⁵	²¹	⁵⁵	⁵⁵	⁵⁵	-	⁴	⁵⁵	2	⁵⁵		166, 510
31	t	Ø	⁵⁵	⁵⁵	⁵⁵	⁵⁵	-	-	³⁵	2	⁵⁵		766, 639
32	t	Ø	⁵⁵	⁵⁵	⁵⁵	³¹	Ø	Ø	Ø	2	⁵⁵		143, 571
33	t	Ø	⁵⁵	³⁵	³³	³⁵	Ø	Ø	Ø	2	³⁵		99, 150
34	t	³¹	⁵⁵	³⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³¹	2	⁵⁵		321, 414
35	t	Ø	⁵⁵	⁵⁵	³³	³¹	Ø	²²	Ø	2	⁵⁵		69, 179
36	t	Ø	⁵⁵	³¹	⁵⁵	³¹	Ø	Ø	³⁵	2	⁵⁵		124, 489
37	t	³¹	²¹	³⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³¹	2	⁵⁵		445, 343
38	t	³¹	²¹	³¹	³³	³⁵	⁵³	⁵³	⁵⁵	2	³¹		125, 194
39	t	⁵⁵	²¹	⁵⁵	³¹	³¹	-	⁴	⁵⁵	2	⁵⁵		201, 291
40	t	Ø	⁵¹	⁵⁵	⁵³	³¹	-	⁴	Ø	2	⁵¹		807, 643
41	t	Ø	⁵⁵	³⁵	⁵³	³⁵	Ø	⁵⁵	Ø	2	⁵⁵		65, 216
42	t	³¹	²¹	³⁵	³¹	³⁵	Ø	²²	³¹	2	³¹		705, 1
43	t	Ø	⁵⁵	⁵⁵	⁵³	⁵⁵	-	²²	³¹	2	⁵⁵		196, 310
44	t	⁵⁵	²¹	Ø	³¹	⁵⁵	Ø	Ø	³¹	2	⁵⁵		167, 512
45	t	⁵⁵	⁵⁵	⁵⁵	³¹	³¹	w	²²	⁵⁵	2	⁵⁵		385, 156
46	t	⁵⁵	⁵⁵	³¹	³³	³¹	-	⁴	⁵⁵	2	⁵⁵		237, 16
47	t	Ø	²¹	³¹	⁵³	³⁵	Ø	Ø	Ø	1	²¹		453
48	t	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³¹	-	⁴	³¹	1	⁵⁵		200
49	t	⁵¹	Ø	Ø	⁵³	⁵⁵	-	²²	³¹	1	⁵¹		275
50	t	³¹	⁵⁵	³⁵	⁵³	⁵⁵	⁵³	⁵³	³¹	1	⁵³		114
51	t	³¹	²¹	³¹	³³	⁵⁵	⁵⁵	⁵⁵	⁵¹	1	⁵⁵		222
52	t	Ø	⁵⁵	⁵⁵	⁵⁵	⁵⁵	-	²²	⁵⁵	1	⁵⁵		64
53	t	Ø	⁵¹	³¹	³¹	³¹	Ø	²²	Ø	1	³¹		484
54	t	Ø	Ø	³¹	Ø	³¹	⁵³	⁵³	Ø	1	³¹		536
55	t	⁵⁵	⁵¹	⁵⁵	³¹	³¹	⁵⁵	Ø	⁵⁵	1	⁵⁵		242
56	t	Ø	⁵¹	⁵⁵	³³	³¹	ŋ	²²	⁵⁵	1	⁵⁵		494
57	t	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	-	⁵³	³¹	1	⁵⁵		429
58	t	⁵⁵	⁵¹	³¹	³¹	³⁵	Ø	Ø	Ø	1	³¹		534
59	t	Ø	⁵⁵	³⁵	⁵⁵	³¹	Ø	⁵³	³¹	1	⁵⁵		526
60	t	⁵⁵	⁵¹	⁵⁵	³³	³¹	⁵³	⁵³	⁵⁵	1	⁵⁵		51
61	t	⁵⁵	Ø	⁵⁵	³¹	³¹	-	²²	⁵¹	1	⁵⁵		303
62	t	⁵⁵	⁵¹	⁵⁵	³¹	³¹	ŋ	²²	⁵⁵	1	⁵⁵		176
63	t	Ø	⁵⁵	³¹	⁵⁵	⁵⁵	Ø	Ø	⁵³	1	⁵⁵		446
64	t	³¹	⁵⁵	³⁵	⁵⁵	³⁵	⁵⁵	⁵⁵	³¹	1	⁵⁵		421
65	t	⁵⁵	Ø	³¹	²¹	³¹	k	⁴	⁵⁵	1	⁵⁵		541
66	t	³¹	²¹	⁵⁵	⁵⁵	³¹	-	⁵⁵	³¹	1	³¹		761
67	t	³¹	²¹	³¹	³³	³¹	⁵⁵	⁵⁵	⁵⁵	1	³¹		327
68	t	⁵⁵	⁵¹	⁵⁵	³³	³¹	j	²²	⁵⁵	1	⁵⁵		379
69	t	Ø	²¹	³⁵	Ø	³¹	Ø	Ø	Ø	1	²¹		344
70	t	³¹	²¹	³¹	³¹	³¹	-	⁴	³¹	1	³¹		405
71	t	³¹	²¹	³¹	³¹	³¹	⁵⁵	⁵⁵	³¹	1	³¹		278
72	t	Ø	⁵⁵	⁵⁵	-	⁵⁵	Ø	Ø	Ø	1	⁵⁵		175
73	t	⁵⁵	⁵¹	⁵³	³³	³¹	j	²²	⁵⁵	1	⁵⁵		160
74	t	Ø	²¹	⁵⁵	³³	³¹	Ø	Ø	⁵⁵	1	⁵⁵		507
75	t	³⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	²²	²²	⁵⁵	1	⁵⁵		148
76	t	³¹	²¹	⁵⁵	⁵⁵	³¹	⁵⁵	⁵⁵	³¹	1	⁵⁵		97
77	t	⁵⁵	²¹	³¹	³¹	³⁵	Ø	Ø	⁵⁵	1	⁵⁵		499
78	t	³¹	²¹	³¹	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³¹	1	⁵⁵		380
79	t	³⁵	⁵⁵	³⁵	⁵⁵	⁵⁵	⁵³	⁵³	³⁵	1	³⁵		307
80	t	³¹	⁵⁵	³¹	⁵⁵	⁵⁵	Ø	²²	³¹	1	³¹		2
81	t	Ø	²¹	³¹	⁵⁵	³⁵	-	²²	Ø	1	²¹		225
82	t	³¹	⁵⁵	⁵⁵	⁵⁵	⁵⁵	-	⁴	⁵⁵	1	⁵⁵		120
83	t	Ø	²¹	Ø	³³	-	-	⁵³	³¹	1	-		481
84	t	³¹	²¹	Ø	³³	²¹	Ø	⁵⁵	³¹	1	³¹		342
85	t	Ø	⁵¹	³¹	Ø	³¹	-	⁵³	Ø	1	³¹		15
86	t	³¹	⁵⁵	⁵⁵	⁵⁵	³¹	-	⁴	⁵⁵	1	⁵⁵		370
87	t	⁵⁵	⁵¹	⁵⁵	³¹	³¹	j	²²	⁵⁵	1	⁵⁵		301
88	t	³¹	²¹	³¹	⁵⁵	³¹	Ø	⁴	³¹	1	³¹		318
89	t	³⁵	²¹	³⁵	⁵³	⁵⁵	Ø	Ø	Ø	1	³⁵		94
90	t	³¹	²¹	³¹	³³	-	⁵⁵	⁵⁵	³¹	1	³¹		324
91	t	⁵⁵	⁵⁵	⁵⁵	³¹	³¹	j	²²	⁵⁵	1	⁵⁵		404
