ID	CONTEXT	Achang_Longchuan	Atsi	Bola	Lashi	Maru	Old_Burmese	Rangoon	Xiandao	FREQUENCY	INFERRED	PROTO	COGNATES
65	i	ɕ	ʃ	ʃ	j	ʃ	l̥	ɕ	ç	1	ʃ		112
66	i	m̥	ŋ	ŋ	ŋ	ŋ	ŋ̊	ŋ̊	ŋ̊	1	ŋ		80
67	i	k	Ø	ɣ	k	ɣ	k	tɕ	k	1	k		541
68	i	s	s	ʃ	s	ʃ	s	tθ	s	1	*ʃ		761
69	i	m	m	m	m	p	l	l	m	1	m		327
70	i	kʰ	k	k	k	k	k	tɕ	tsʰ	1	k		379
71	i	ɕ	ʃ	ʃ	ʃ	ʃ	r̥	ɕ	ç	1	*r̥		249
72	i	t	l	t	t	t	t	t	t	1	t		405
73	i	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ̊	1	*ŋ		278
74	i	Ø	ʃ	s	Ø	s	Ø	Ø	Ø	1	*ʃ		571
75	i	n̥ʲ	j	j	ŋ	j	Ø	Ø	ɲ̊	1	j		528
76	i	-	v	v	ɣ	v	w	w	-	1	v		127
77	i	Ø	Ø	j	j	j	l	j	Ø	1	*l		416
78	i	l	l	l	l	l	k	tɕ	l	1	l		467
79	i	l	n	n	n	n	n	n	n	1	n		88
80	i	tɕʰ	ts	ts	ts	ts	tsʰ	sʰ	cʰ	1	ts		493
81	i	Ø	j	n	j	ŋ	Ø	Ø	ɲ̊	1	j		507
82	i	ʐ	l	l	l	l	l	l	l	1	l		148
83	i	v	v	v	v	v	w	w	v	1	*w		95
84	i	t	Ø	Ø	t	t	tʰ	t	t	1	*t		182
85	i	n	n	n	n	n	n	n	n̥	1	*n		227
86	i	Ø	ŋ	n	n	n	Ø	Ø	Ø	1	n		778
87	i	ŋ̊	ŋ	ŋ	ŋ	ŋ	n̥	n̥	ŋ̊	1	*ŋ		518
88	i	Ø	Ø	k	k	k	kʰ	kʰ	x	1	*k		117
89	i	Ø	Ø	f	f	f	Ø	Ø	Ø	1	*f		119
90	i	ts	tʃ	tʃ	tʃ	tʃ	Ø	t	ts	1	*tʃ		2
91	i	l̥	l	l	l	l	l̥	ɬ	l	1	*l		490
92	i	s	s	s	s	s	s	tθ	ʂ	1	*s		120
93	i	ʑ	j	j	j	j	j	j	j	1	j		326
94	i	Ø	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	sʰ	Ø	1	*tsʰ		287
95	i	l	l	l	l	l	l	l	l̥	1	*l		114
96	i	-	-	ŋ	ŋ	ŋ	-	-	-	1	-		100
97	i	Ø	m	Ø	m	m̥	Ø	m̥	Ø	1	*m		179
98	i	n	m	Ø	m	m	Ø	m	n̥	1	m		342
99	i	nʲ	m	m	m	m	m	m	nʲ	1	m		263
100	i	Ø	pʰ	p	p	p	p	Ø	pʰ	1	*p		196
101	i	k	k	k	k	ɣ	k	tɕ	k	1	k		78
102	i	Ø	Ø	Ø	pʰ	pʰ	pʰ	pʰ	p	1	*p		310
103	i	m	m	m	m	m	m	m	m̥	1	*m		404
104	i	x	kʰ	tʃʰ	kʰ	kʰ	kʰ	kʰ	x	1	*kʰ		343
1	m	-	j	j	j	j	-	-	-	16	*j		102, 811, 275, 89, 87, 504, 231, 485, 635, 342, 103, 459, 471, 444, 123, 526
2	m	-	j	j	j	j	r	-	-	2	*r		160, 213
3	m	Ø	j	j	Ø	j	j	-	Ø	2	*j		576, 385
4	m	-	j	-	j	j	-	-	-	6	*j		536, 280, 210, 194, 250, 187
5	m	-	j	j	j	j	j	j	-	3	*j		265, 222, 263
6	m	ʐ	j	j	j	j	r	-	ʐ	5	*r		146, 494, 821, 94, 299
7	m	ʐ	j	j	j	j	r	j	ʐ	3	*r		51, 176, 345
8	m	ʐ	j	j	j	j	r	-	-	2	*r		403, 379
9	m	-	-	-	-	-	-	w	-	9	-		321, 198, 92, 125, 414, 684, 36, 16, 26
10	m	u	-	-	-	-	-	Ø	-	2	-		242, 772
11	m	-	-	-	j	-	Ø	Ø	-	2	*j		807, 528
12	m	-	j	j	j	-	-	-	-	3	*j		161, 533, 524
13	m	-	j	-	j	-	-	-	-	2	*j		365, 336
14	m	u	-	-	-	-	-	-	-	3	-		547, 751, 282
15	m	Ø	-	j	-	j	j	-	-	2	*j		507, 612
16	m	-	-	-	-	-	j	-	-	3	*j		416, 249, 112
17	m	u	-	-	j	-	-	-	-	2	-		155, 237
18	m	Ø	j	-	-	-	Ø	Ø	Ø	2	*j		778, 99
19	m	ʐ	-	-	j	-	r	w	ʐ	2	-		541, 301
20	m	ʐ	-	-	-	-	rj	j	-	2	-		257, 387
21	m	ʐ	j	j	j	j	l	j	ʐ	1	j		180
22	m	Ø	j	-	j	j	r	j	Ø	1	*r		39
23	m	-	-	-	-	-	l	-	-	1	-		467
24	m	-	-	-	u	-	-	-	-	1	-		551
25	m	Ø	-	Ø	Ø	-	-	ɑ	Ø	1	-		643
26	m	-	j	-	-	j	-	-	-	1	*j		327
27	m	ʐ	-	-	j	-	r	-	-	1	*r		78
28	m	ʐ	j	j	j	j	l	j	-	1	j		307
29	m	-	j	-	j	j	l	j	-	1	*l		404
30	m	Ø	-	-	Ø	ɤ	Ø	Ø	Ø	1	-		211
1	M	u	-	-	-	-	-	-	-	1	-		299
1	n	a	a	a	a	a	a	ɑ	a	17	*a		648, 221, 762, 25, 637, 274, 669, 525, 162, 320, 578, 631, 694, 691, 183, 557, 308
2	n	Ø	o	a	o	ɔ	a	ɑ	Ø	7	*a		398, 569, 29, 576, 676, 565, 360
3	n	ɔ	o	a	ɔ	ɔ	a	ɛ	ɔ	11	*a		201, 204, 486, 671, 584, 284, 639, 341, 673, 265, 501
4	n	a	o	a	o	ɔ	a	ɑ	ɔ	3	*a		811, 751, 468
5	n	a	a	Ø	a	ɛ̰	Ø	Ø	a	2	a		167, 512
6	n	Ø	a	a	ɑ	ɔ	Ø	ɑ	Ø	2	*a		386, 173
7	n	ɔ	o	a	o	ɔ	a	ɑ	ɔ	4	*a		549, 421, 195, 326
8	n	ɔ	o	a	ɔː	ɔ	a	ɛ	ɔ	6	*a		545, 546, 416, 88, 510, 323
9	n	ɔ	o	a	ɔː	ɔ	a	ɑ	ɔ	2	*a		263, 239
10	n	Ø	u	a	u	ɔ	Ø	Ø	Ø	2	u		833, 496
11	n	a	i	a	ɛ	a	Ø	Ø	a	3	*i		89, 459, 571
12	n	Ø	a	ɛ	a	ɛ	Ø	Ø	Ø	3	*a		527, 672, 231
13	n	a	a	a	o	u	Ø	Ø	a	2	a		446, 638
14	n	Ø	a	ɔ̃	a	ɔ̃	Ø	Ø	Ø	2	*a		485, 137
15	n	a	u	u	aː	u	Ø	Ø	Ø	3	u		111, 102, 94
16	n	a	a	ɛ̃	aː	a	Ø	Ø	a	3	a		13, 31, 570
17	n	Ø	a	ă	ă	Ø	a	Ø	a	2	a		54, 178
18	n	a	a	a	o	u	ə	o	a	5	a		513, 397, 269, 417, 122
19	n	u	o	a	ṵ	ɔ	Ø	Ø	o	2	*a		146, 119
20	n	Ø	i	a	e	a	Ø	Ø	i	2	i		55, 524
21	n	a	a	Ø	a	Ø	u	u	a	2	a		1, 561
22	n	u	Ø	a	Ø	Ø	u	o	u	3	u		488, 238, 157
23	n	u	u	a	u	a	Ø	Ø	u	3	u		197, 534, 447
24	n	ə	i	a	əː	a	a	i	ɤ	5	a		35, 767, 434, 219, 402
25	n	a	e	ɛ	ɛ̰	ɛ	Ø	Ø	a	2	a		634, 211
26	n	Ø	ŏ	ă	ŏ	ɔ̆	Ø	ɑ	Ø	2	ŏ		163, 322
27	n	a	a	ɛ	a	ɛ	Ø	ɛ	a	2	*a		531, 172
28	n	a	a	ɔ̃	a	ɔ̃	a	ĩ	ɔ	5	a		58, 242, 772, 547, 345
29	n	i	i	i	i	i	i	i	i	6	*i		280, 39, 635, 208, 194, 342
30	n	Ø	Ø	u	o	u	ə	o	Ø	2	u		385, 110
31	n	a	a	a	a̰	a	a	ɛ	Ø	2	*a̰		150, 235
32	n	Ø	ĕ	ɛ	Ø	ɛ	Ø	e	Ø	2	ɛ		666, 731
33	n	a	i	a	ə	a	a	a	a	2	*i		577, 564
34	n	a	a	a	aː	u	ə	o	a	2	a		503, 380
35	n	u	u	u	u	a	u	e	u	4	u		92, 684, 543, 198
36	n	a	a̰	ɛ̰̃	a̰	a̰	a	ĩ	a	4	a		75, 432, 518, 442
37	n	a	a	ɔ̃	aː	ɔ̃	a	ĩ	a	2	a		176, 138
38	n	e	e	Ø	Ø	Ø	i	i	ɛ	2	e		123, 406
39	n	u	u	a	u	a	i	e	o	2	u		499, 659
40	n	o	a	ɛ	a	ɛ	i	i	a	2	a		257, 108
41	n	i	ṵ	a̰	ɔ̰	a̰	i	e	i	4	i		200, 344, 143, 813
42	n	u	u	a	ɔ	a	u	õ	u	2	u		97, 757
43	n	Ø	a	ɛ̃	a	ɛ̃	a	ɑ̃	Ø	2	a		614, 287
44	n	o	o	ɔ	Ø	u	o	ɛ	Ø	3	o		472, 492, 16
45	n	o	o	ɔ	ɔ	Ø	o	ɑ̃	o	2	o		612, 795
46	n	ă	ŏ	ă	ŏ	ɔ̆	Ø	Ø	ɔ	2	ă		135, 449
47	n	i	ŏ	ă	ŏ	ɔ̆	i	e	n	2	i		37, 23
48	n	Ø	a̰	ɛ̰	a̰ː	ɛ̰	Ø	i	Ø	3	ɛ̰		764, 153, 103
49	n	Ø	Ø	a̰	ṵː	a̰	ʊ	ɑ	Ø	2	a̰		471, 213
50	n	ɔ	ṵ	a̰	ṵ	ɔ̰	a	ɑ	Ø	2	ṵ		294, 483
51	n	u	u	u	uː	a	u	u	u	2	u		74, 182
52	n	e	e	a	e	ɛ	a	ɛ	Ø	2	e		53, 129
53	n	Ø	ḛ	ṵ	e	a̰	u	u	Ø	2	u		847, 244
54	n	e	ə	ɛ	a̰ː	ɛ	Ø	Ø	a	2	ɛ		124, 615
