277	441895	to grind
278	5999	to hear
279	161806	to hide
280	6044	to hit (target)
281	6060	to hold // to hold (past tense)
282	?35	to hold a meeting
283	?36	to hold in arms
284	?37	to hold in the mouth
285	6046	to hunt
286	500899	to kick
287	6023	to kill
288	6004	to know
289	5876	to laugh
290	1510483	to lick
291	6005	to lie (on the floor)
292	6028	to live
293	?38	to pack
294	160433	to piss
295	429615	to place // to put
296	6010	to play
297	621011	to pour out
298	6071	to pull
298	1335540	to pull over oneself
299	1496239	to pull (cow)
300	?39	to pull down
301	?40	to pull out
302	761899	to pull up (weeds)
303	6068	to push // to push down
304	?41	to put away
305	?42	to put in
306	1335540	to put on // to put one's hand on
307	1443493	to put out to pasture
308	5523	to rain
309	?43	to rease
310	478515	to reside
311	6323	to run
312	6075	to say
313	6047	to scratch
314	6003	to see
315	6439	to sell
316	6073	to sew
317	522875	to shoot
318	5540	to sing
319	6022	to sit
320	6785	to sit down
321	6519	to sleep
322	6520	to smell
323	6521	to smell
324	6051	to spit
325	6048	to split
326	6017	to squeeze // to wring
327	6045	to stab
328	6053	to stand
329	336072	to steal
330	6027	to suck
331	6454	to swell
332	6050	to swim
333	6021	to think (reflect)
334	6072	to throw
335	844574	to tie into a bundle // to tie up
336	6526	to turn // to turn over
337	1584109	to turn around // to turn one's head to the back
338	5617	to vomit
339	6054	to walk
340	542675	to warm oneself // to warm oneself warm
341	5485	warm
342	6069	to wash something
343	1280854	to weave
344	6070	to wipe
345	?44	tomorrow night
346	7013	twenty
347	6248	two
348	5455	we
349	496905	we (inclusive)
350	?45	we two
351	7027	wet
352	5491	what?
353	5493	when?
354	5492	where?
355	5825	white
356	5490	who?
357	5502	wide
358	6031	yellow
359	?46	yesterday night
360	5456	you
361	?47	you two
