NUMBER	STDB	CONCEPTID	GLOSS	COVERAGE
241	*	7026	right (correct)	11
242	*	7027	wet	11
243	*	7039	the sky	11
244	-	734724	the banana tree	9
245	*	741520	the wood	9
246	-	7552	the bear	10
247	*	7709	to cry	5
248	-	7774	the boat	11
249	*	7800	ill	8
250	-	7907	soft	11
251	*	8061	to buy	11
252	*	828398	the claw	8
253	-	838324	sour	11
254	*	844574	to tie into a bundle // to tie up	8
255	*	8448	to dream	11
256	-	848903	the bamboo	11
257	*	858309	there	10
258	*	869106	near	11
259	*	961244	to flow	10
260	*	966	the dog	11
261	-	980418	to descend	10
262	-	980597	to dry in the sun or air	10
263	*	?19	the year after next year	5
264	-	?20	the year before last year	9
265	-	?29	to blow the trumpet	8
266	*	?30	to burn oneself	6
267	-	?36	to hold in arms	10
268	-	?37	to hold in the mouth	10
269	-	?40	to pull out	10
270	*	?4160	to wind	6
271	*	?5465	rope (classifier)	6
272	-	?5675	the little finger	7
273	-	?6	old (thing)	11
274	*	?8448	the dream	6
275	*	?85409	there is	6
