Grapheme	Segments	Structure	Unicode	Frequency	Reflexes
eɪ	eɪ	n	U+0065 U+026a	1	Hpun
ɨ̣ụ	ɨ̣ụ	n	U+0268 U+0323 U+1ee5	1	Achang
oe	oe	n	U+006f U+0065	1	Lashi
ɛɪ	ɛɪ	n	U+025b U+026a	1	Hpun
ə̣	ə̣	n	U+0259 U+0323	1	Achang
ē	ē	n	U+0113	1	Lashi
ạ̄	ạ̄	n	U+1ea1 U+0304	1	Bola
ụ̃	ụ̃	n	U+1ee5 U+0303	1	Bola
j	j	m	U+006a	107	Bola,Hpun,Atsi,Maru,Achang,Lashi
w	w	m	U+0077	52	Bola,Maru,Hpun,Atsi,Achang,Lashi
jẹ	jẹ	m	U+006a U+1eb9	2	Achang
ju	ju	m	U+006a U+0075	2	Bola,Achang
mj	m j	i m	U+006d U+0020 U+006a	77	Achang,Hpun,Bola,Maru,Atsi,Lashi
tʃʰ	t ʃʰ	i m	U+0074 U+0020 U+0283 U+02b0	69	Bola,Atsi,Achang,Maru,Lashi
dʒ	d ʒ	i m	U+0064 U+0020 U+0292	60	Lashi,Maru,Atsi,Achang
nj	n j	i m	U+006e U+0020 U+006a	56	Bola,Atsi,Maru,Lashi,Achang
dz	d z	i m	U+0064 U+0020 U+007a	47	Achang,Atsi,Maru,Lashi
tsʰ	t sʰ	i m	U+0074 U+0020 U+0073 U+02b0	46	Bola,Atsi,Lashi,Maru,Achang
kʰj	kʰ j	i m	U+006b U+02b0 U+0020 U+006a	35	Bola,Atsi,Maru,Lashi,Achang
gj	g j	i m	U+0067 U+0020 U+006a	30	Atsi,Maru,Achang,Lashi
pʰj	pʰ j	i m	U+0070 U+02b0 U+0020 U+006a	20	Bola,Hpun,Lashi,Maru,Atsi
bj	b j	i m	U+0062 U+0020 U+006a	19	Atsi,Maru,Lashi
ts	t s	i m	U+0074 U+0020 U+0073	18	Atsi,Maru,Achang,Lashi,Bola
kj	k j	i m	U+006b U+0020 U+006a	17	Atsi,Maru,Lashi,Achang,Bola
dj	d j	i m	U+0064 U+0020 U+006a	14	Achang
