NUMBER	GLOSS	BURMISH_GLOSS	CONCEPTICON_ID	TBL_ID	HPUN_ID	HPUN_GLOSS
87	heavy	heavy	1210	1014	333	heavy
88	here	here	136	0944	0	???
89	to hide (conceal)	to hide (conceal)	602	1169	338	hide
90	high / tall	high / tall	1265	0968	339	high
91	to hold	to hold	1448	1709	0	???
92	the hoof	the hoof	152	0264	0	???
93	horizontal	horizontal	2376	1001	0	???
94	the horn (keratinized skin)	the horn (keratinized skin)	1393	0263	0	???
95	the horse	the horse	615	0268	346	horse
96	hot	hot	1286	1062	347	hot (very)
97	the house	the house	1252	0494	350	house
98	hundred	hundred	1634	0824	355	hundred
99	to hunt	to hunt	1435	1230	0	???
100	the husband	the husband	1200	0247	360	husband
101	I [first person singular]	I [first person singular]	1209	0928	363	I / my
102	the ice	the ice	617	0017	0	???
103	inside	inside	1606	0715	0	???
104	to kill	to kill	1417	1602	382	kill (cp. Die)
105	to knead	knead	274	1594	386	knead
106	the knee	the knee	1371	0101	387	knee
107	knife	knife	1352	0549	388	knife
108	to know (something)	to know	1410	1798	393	know
109	the lake	the lake	624	0031	0	???
110	late	late	477	1019	0	???
111	to laugh	to laugh	1355	1735	397	laugh
112	the leaf	the leaf	628	0376	400	leaf (large)
113	to learn	learn	504	1742	0	???
114	left	left	244	0710	405	left (hand)
115	to lick	to lick	319	1674	412	lick
116	to lie down	to lie down	215	1661	234	fall down
117	light (of weight)	good	1052	1052	414	light
118	the lip (the lips)	the lip (the lips)	478	0085	0	???
119	the liver	the liver	1224	0145	419	liver
120	long	long	1203	0972	421	long
121	the louse	the louse	1392	0356	0	???
122	the lung	the lung	688	0143	0	???
123	the man (male human)	the man (male human)	2106	0173	432	man / male person
124	many	many	1198	0987	434	many / much
125	to marry (a man marries a woman)	marry (a man marries a woman)	2164	1578	0	???
126	the meat	the meat	634	0443	0	???
127	middle	middle	1093	0708	0	???
128	the moon	the moon	1313	0004	450	moon (new)
129	morning	morning	1339	0749	0	???
130	the mosquito	the mosquito	1509	0360	452	mosquito
131	the mother	the mother	1216	0219	453	mother
132	the mountain	the mountain	639	0023	454	mountain
133	the mouse or rat	the mouse or rat	2139	0320	540	rat
134	the mouth	the mouth	674	0084	628	snout / mouth
135	the mud	the mud	640	0046	0	???
136	the nail (fingernail or claw)	the nail (fingernail or claw)	2128	0113	0	???
137	the name	the name	1405	0687	460	name
138	narrow	narrow	1267	0977	461	narrow
139	near	near	1942	0975	463	near
140	the neck	the neck	1333	0089	465	neck (nape of)
141	the needle (for sewing)	the needle (for sewing)	1382	0578	466	needle
142	new	new	1231	1050	470	new
143	nine	nine	1483	0805	472	nine
144	the nit	the nit	267	0357	0	???
145	noon	noon	12	0750	0	???
146	the nose	the nose	1221	0080	475	nose
147	old (of person)	old (of person)	2112	1058	481	old (of persons)
148	one	one	1493	0797	484	one
149	the otter	the otter	15	0317	490	otter
150	outside	outside	762	0714	0	???
151	the pig	the pig	1337	0284	514	pig
152	to plant (vegetals, rice)	to plant (vegetals, rice)	1486	1774	0	???
153	to play	to play	1413	1703	0	???
154	to pull	to pull	1455	1568	527	pull
155	to push	to push	1452	1689	0	???
156	the rain	the rain	658	0010	537	rain (cp. Sky)
157	the rainbow	the rainbow	1733	0011	538	rainbow
158	red	red	156	1007	545	red
159	to reside (live)	to reside (live)	1099	1452	0	???
160	the rice plant	the rice plant	2026	0439	0	???
161	right	right	1019	0711	558	right (hand)
162	the river	the river	666	0030	562	river
163	the road	the road	667	0038	563	road / journey
164	the root	the root	670	0375	569	root
165	the rope	the rope	1218	0619	570	rope
166	round	round	1395	0990	641	spherical / round
167	to run	run	1519	1544	575	run
168	the salt	the salt	1274	0061	576	salt
169	salty	salty	1091	1076	0	???
170	the sand	the sand	671	0044	577	sand
171	to scratch	to scratch	1436	1530	583	scratch (cp. Scrape w.stick)
172	the sea	the sea	1474	0032	0	???
173	to see	to see	1409	1471	585	see
