NUMBER	GLOSS	SEMANTIC_TAG	TBL_ID	CONCEPTICON_ID	DEFINITION
80	the hair (of the head)	body	75	1040	The collection or mass of hair on a person's head except the face.
81	the hand	body	107	1277	That part of the fore limb below the forearm or wrist in primates (including humans).
82	hard	characterisation, form	1034	1884	Resistant to pressure.
83	he or she [third person singular]	pronoun	934	262	Third person singular pronoun, regardless of gender/sex.
84	the head	body	74	1256	The part of the body of an animal or human which contains the brain, mouth and main sense organs.
85	to hear	action	1682	1408	To perceive sound with the ear, without necessarily paying attention to it.
86	the heart	body	144	1223	A muscular organ that pumps blood through the body.
87	heavy	characterisation, quantity	1014	1210	Of a physical object, having great weight.
88	here	location, pronoun	944	136	at this place
89	to hide (conceal)	action	1169	602	To put something in a place where it will be harder to discover or out of sight.
90	high / tall	characterisation, quantity	968	1265	Having relatively great height.
91	to hold	action	1709	1448	To grasp or grip (particularly with the hand) so that the object does not end up at the surface below.
92	the hoof	body	264	152	Natural horn covering of an animal's foot.
93	horizontal	location	1001	2376	Plane is said to be horizontal at a given point if it is perpendicular to the gradient of the gravity field at that point— in other words, if apparent gravity makes a plumb bob hang perpendicular to the plane at that point. [W: Horizontal plane]
94	the horn (keratinized skin)	body, animal	263	1393	A hard growth of keratin that protrudes from the top of the head of certain animals.
95	the horse	animal	268	615	A large animal with four legs of the Equus caballus species which people ride on or use for carrying things or pulling vehicles.
96	hot	characterisation, temperature	1062	1286	Having a very high temperature.
97	the house	residence	494	1252	The abode of a human being, their place of residence.
98	hundred	number	824	1634	The cardinal number occurring after ninety-nine and before one hundred one, represented in Roman numerals as C and in Arabic numerals as 100.
99	to hunt	action	1230	1435	To chase down prey and (usually) kill it.
100	the husband	kinship	247	1200	The male partner in a marriage.
101	I [first person singular]	pronoun	928	1209	The speaker or writer referring to himself or herself alone.
102	the ice	nature	17	617	The dense substance formed by the freezing of water to the solid state; it commonly occurs in the form of hexagonal crystals.
103	inside	location	715	1606	Within the confines of a building.
104	to kill	action	1602	1417	To put to death; to end a life.
105	to knead	action	1594	274	To press a dough many times with one's hands.
106	the knee	body	101	1371	In man, the joint in the middle part of the leg.
107	knife	object, tool	549	1352	A utensil consisting of a sharpened piece of hard material such as steel or other metal, ceramic, glass or stone, usually attached to a handle, that is formed in a manner that allows for cutting softer materials, especially meat or other food.
108	to know (something)	action	1798	1410	To be certain or sure about something.
109	the lake	nature	31	624	An enclosed body of water, usually but not necessarily fresh water, from which the sea is excluded.
110	late	time	1019	477	Towards the end of a time period. 
111	to laugh	action	1735	1355	To express pleasure, mirth or derision by peculiar movement of the muscles of the face, particularly of the mouth, causing a lighting up of the face and eyes, and usually accompanied by the emission of explosive or chuckling sounds from the chest and throat.
112	the leaf	body, animal	376	628	The main organ of photosynthesis and transpiration in higher plants, usually consisting of a flat green blade attached to the stem directly or by a stalk.
113	to learn	action	1742	504	To acquire, or attempt to acquire knowledge or an ability to do something.
114	left	characterization, location	710	244	Something that is on the left side relative to another object.
115	to lick	action	1674	319	To stroke with the tongue.
116	to lie down	action	1661	215	(For a human or animal) to assume a horizontally extended position on a surface.
117	light (of weight)	characterisation, quantity	1052	1052	To start a fire or light a flame.
118	the lip (the lips)	body part	85	478	Either of the two fleshy protrusions around the opening of the mouth.
119	the liver	body	145	1224	A large organ in the body that stores and metabolizes nutrients, destroys toxins and produces bile. Responsible for thousands of biochemical reactions.
120	long	characterization, quantity	972	1203	Having much distance from one terminating point on an object or an area to another terminating point.
121	the louse	animal	356	1392	A small wingless parasitic insect of the order Phthiraptera that lives on humans, other mammals and birds.
122	the lung	body part	143	688	A biological organ that extracts oxygen from the air.
123	the man (male human)	human being	173	2106	A human belonging to the male sex.
124	many	characterization, quantity	987	1198	An indefinite large number of.
125	to marry (a man marries a woman)	action	1578	2164	To enter marriage from the perspective of a man.
126	the meat	body, animal	443	634	The edible flesh of animals, especially that of mammals.
127	middle	location	708	1093	Being in the midway between the ends.
128	the moon	nature, object	4	1313	A natural satellite of a planet.
129	morning	time	749	1339	The period of time from the start of the day (midnight) until midday (12:00).
130	the mosquito	animal	360	1509	A small flying insect (of the family Culicidae) known for biting and sucking blood.
131	the mother	kinship	219	1216	A woman who has at least one child.
132	the mountain	nature, geography	23	639	A feature of the earth's surface that rises high above the base and has generally steep slopes and a relatively small summit area.
133	the mouse or rat	animal	320	2139	A large superfamily of rodents, including hamsters, gerbils, true mice and rats, and many other relatives.
134	the mouth	body	84	674	Opening in the lower half of a human face which is used for food ingestion and articulation.
135	the mud	nature	46	640	A mixture of clay and/or silt with water to form a plastic mass with a particle size preponderantly below 0.06 mm diameter. It is deposited in low-energy environments in lakes, estuaries and lagoons. It may also be deposited in deep-sea environments. (Source: WHIT)
136	the nail (fingernail or claw)	body	113	2128	The hard, keratin part growing at the feet of animals or the hands and legs of humans.
137	the name	human being	687	1405	Any word or phrase which designates a particular person, place, class or thing.
138	narrow	characterization, quantity	977	1267	Having a small width.
139	near	characterization, quantity	975	1942	Not far distant in time or space or degree or circumstances.
140	the neck	body	89	1333	The part of the body (found in some animals, including humans) that connects the head and the trunk.
141	the needle (for sewing)	object, tool	578	1382	A thin, sharp implement used in sewing, knitting and acupuncture.
142	new	characterization, state	1050	1231	Recently made, created or begun.
143	nine	number	805	1483	The ninth natural number (9).
144	the nit	animal	357	267	An egg of a louse that is sometimes found in people's hair.
145	noon	time	750	12	Time of day when the sun is in its zenith.
146	the nose	body	80	1221	The organ of the face used to breath and smell.
147	old (of person)	characterization, state	1058	2112	To be old (of persons).
148	one	number	797	1493	The cardinal number that directly follows zero and precedes two, represented in Roman numerals as I, and in Arabic numerals as 1.
149	the otter	animal	317	15	Any of several aquatic, furbearing, weasellike mammals of the genus Lutra , having webbed feet and a long, slightly flattened tail.
150	outside	location	714	762	In the open, not within a building.
151	the pig	animal	284	1337	A common, four-legged animal (Sus scrofa) that has cloven hooves, bristles and a nose adapted for digging and is farmed by humans for its meat.
152	to plant (vegetals, rice)	action	1774	1486	To put a plant in the ground so that it strikes root and grows.
153	to play	action	1703	1413	To act in a manner such that one has fun; to engage in playful activities expressly for the purpose of recreation.
154	to pull	action	1568	1455	To apply a force to (an object), in order that it moves towards the origin of the force that was applied.
155	to push	action	1689	1452	To apply a force to (an object), in order that it moves away from the origin of the force that was applied.
156	the rain	nature, phenomenon	10	658	Precipitation in the form of liquid water drops with diameters greater than 0.5 millimetres.
157	the rainbow	nature	11	1733	A multicoloured arc in the sky caused by the refraction of light within droplets of rain in the air.
158	red	characterization, color	1007	156	Having red as its colour.
159	to reside (live)	action	1452	1099	To have permanent residence.
160	the rice plant	object, food	439	2026	An erect grass, Oryza sativa, that grows in East Asia on wet ground and has drooping flower spikes and yellow oblong edible grains that become white when polished.
161	right	characterization, location	711	1019	Something that is on the right side relative to another object.
162	the river	nature, geography	30	666	A stream of water which flows in a channel from high ground to low ground and ultimately to a lake or the sea, except in a desert area where it may dwindle away to nothing.
163	the road	object, geography	38	667	A long piece of hard ground that people can drive along from one place to another.
164	the root	body, animal	375	670	The absorbing and anchoring organ of a vascular plant; it bears neither leaves nor flowers and is usually subterranean.
165	the rope	object, tool	619	1218	Thick, strong string made of several strands that have been twisted together.
166	round	characterization, form	990	1395	Circular or having a circular cross-section in at least one direction.
167	to run	action	1544	1519	To move quickly by alternately making a short jump off of either foot.
168	the salt	object, food	61	1274	A condiment (NaCl - Sodium Chloride) used to add to or enhance the flavour of food (commonly with pepper).
169	salty	characterisation, taste	1076	1091	Containing salt.
170	the sand	nature, substance	44	671	A loose material consisting of small mineral particles, or rock and mineral particles, distinguishable by the naked eye; grains vary from almost spherical to angular, with a diameter range from 1/16 to 2 millimeters.
171	to scratch	action	1530	1436	To rub or scrape (a part of the body) with a sharp object (e.g. to relieve an itching).
172	the sea	nature, geography	32	1474	A body of salt water that is smaller than an ocean and generally in proximity to a continent.
173	to see	action	1471	1409	To perceive [images] with the eye, without necessarily paying attention to them.
174	the seed	object, food	405	714	A mature fertilized plant ovule, consisting of an embryo and its food store surrounded by a protective seed coat (testa).
175	seven	number	803	1704	The cardinal number occurring after six and before eight, represented in Roman numerals as VII, in Arabic numerals as 7.
176	sharp	characterization, form	1020	1396	Having the ability to cut easily.
177	the sheep	animal	275	1331	A common, four-legged animal (Ovis) that is commonly kept by humans for its wool.
