ID	DOCULECT	DOCULECT_IS	CONCEPT	ID_IS	VALUE	SEGMENTED_VALUE	TOKENS	STRUCTURE	COGID
1085	Achang	Nishi Achang	abdomen	200	ɔm³¹-	ɔm ³¹ -	ɔ m ³¹ +	n c t +	200
1086	Atsi	Nishi Zaiwa/Atsi	abdomen	200	vam²¹	v am ²¹	v a m ²¹	i n c t	200
387	Maru	Nishi Langsu/Maru	air, breeze, wind	73	la³¹	l a ³¹	l a ³¹	i n t	73
388	Xiandao	Nishi Xiandao	air, breeze, wind	73	lai⁵⁵	l ai ⁵⁵	l a i ⁵⁵	i n nn t	73
389	Lashi	Nishi Leqi/Lashi	air, breeze, wind	73	lei³¹	l ei ³¹	l e i ³¹	i n nn t	73
390	Bola	Nishi Bola	air, breeze, wind	73	lei⁵⁵	l ei ⁵⁵	l e i ⁵⁵	i n nn t	73
391	Bola	Nishi Bola	air, breeze, wind	73	li⁵⁵	li ⁵⁵	l i ⁵⁵	i m t	73
392	Achang	Nishi Achang	air, breeze, wind	73	l̥i⁵⁵	l̥ i ⁵⁵	l̥ i ⁵⁵	i n t	73
393	Atsi	Nishi Zaiwa/Atsi	air, breeze, wind	73	lai⁵¹	l ai ⁵¹	l a i ⁵¹	i n nn t	73
1427	Maru	Nishi Langsu/Maru	air; breath; steam	271	soɂ⁵⁵	s oɂ ⁵⁵	s o ʔ ⁵⁵	i n c t	270
1428	Xiandao	Nishi Xiandao	air; breath; steam	271	sɔɂ⁵⁵	s ɔɂ ⁵⁵	s ɔ ʔ ⁵⁵	i n c t	270
1429	Lashi	Nishi Leqi/Lashi	air; breath; steam	271	sɔɂ⁵⁵	s ɔɂ ⁵⁵	s ɔ ʔ ⁵⁵	i n c t	270
1430	Bola	Nishi Bola	air; breath; steam	271	saɂ⁵⁵	s aɂ ⁵⁵	s a ʔ ⁵⁵	i n c t	270
1431	Achang	Nishi Achang	air; breath; steam	271	-sɔɂ⁵⁵	- s ɔɂ ⁵⁵	+ s ɔ ʔ ⁵⁵	+ i n c t	270
1432	Atsi	Nishi Zaiwa/Atsi	air; breath; steam	271	soɂ⁵⁵	s oɂ ⁵⁵	s o ʔ ⁵⁵	i n c t	270
1299	Maru	Nishi Langsu/Maru	approximately	244	mɔ̣̣⁵⁵	m ɔ̣̣ ⁵⁵	m ɔ̰ ⁵⁵	i n t	244
1300	Xiandao	Nishi Xiandao	approximately	244	n̥ɛ³¹	n̥ ɛ ³¹	n̥ ɛ ³¹	i n t	244
1301	Lashi	Nishi Leqi/Lashi	approximately	244	-mjo⁵⁵	- mj o ⁵⁵	+ m j o ⁵⁵	+ i m n t	244
