ID	DOCULECT	DOCULECT_IS	CONCEPT	ID_IS	VALUE	SEGMENTED_VALUE	TOKENS	STRUCTURE	COGID
1513	Achang	Nishi Achang	bird's nest	288	-sut⁵⁵	- su t ⁵⁵	+ s u t ⁵⁵	+ i m i t	287
1514	Atsi	Nishi Zaiwa/Atsi	bird's nest	288	-sut⁵⁵	- su t ⁵⁵	+ s u t ⁵⁵	+ i m i t	287
557	Maru	Nishi Langsu/Maru	bitter	105	khɔ³⁵	kh ɔ ³⁵	kʰ ɔ ³⁵	i n t	105
558	Xiandao	Nishi Xiandao	bitter	105	xɔ³¹	x ɔ ³¹	x ɔ ³¹	i n t	105
559	Lashi	Nishi Leqi/Lashi	bitter	105	kho:⁵⁵	kh o: ⁵⁵	kʰ o: ⁵⁵	i n t	105
560	Bola	Nishi Bola	bitter	105	kha³⁵	kh a ³⁵	kʰ a ³⁵	i n t	105
561	Achang	Nishi Achang	bitter	105	xɔ³¹	x ɔ ³¹	x ɔ ³¹	i n t	105
562	Atsi	Nishi Zaiwa/Atsi	bitter	105	kho²¹	kh o ²¹	kʰ o ²¹	i n t	105
1780	Maru	Nishi Langsu/Maru	black	344	nɔɂ³¹	n ɔɂ ³¹	n ɔ ʔ ³¹	i n c t	342
1781	Xiandao	Nishi Xiandao	black	344	nɔɂ⁵⁵	n ɔɂ ⁵⁵	n ɔ ʔ ⁵⁵	i n c t	342
1782	Lashi	Nishi Leqi/Lashi	black	344	nɔ:ɂ³¹	n ɔ:ɂ ³¹	n ɔ: ʔ ³¹	i n c t	342
1783	Bola	Nishi Bola	black	344	naɂ³¹	n aɂ ³¹	n a ʔ ³¹	i n c t	342
1784	Atsi	Nishi Zaiwa/Atsi	black	344	noɂ²¹	n oɂ ²¹	n o ʔ ²¹	i n c t	342
1103	Xiandao	Nishi Xiandao	block up, plug	205	tshi³⁵	tsh i ³⁵	tsʰ i ³⁵	i n t	205
1104	Lashi	Nishi Leqi/Lashi	block up, plug	205	tsha:u⁵³	tsh a:u ⁵³	tsʰ a: u ⁵³	i n nn t	205
1105	Bola	Nishi Bola	block up, plug	205	tshau³⁵	tsh au ³⁵	tsʰ a u ³⁵	i n nn t	205
677	Maru	Nishi Langsu/Maru	blood	128	sï³⁵	s ï ³⁵	s ï/ʅ ³⁵	i n t	128
678	Xiandao	Nishi Xiandao	blood	128	sui³¹	su i ³¹	s u i ³¹	i m n t	128
679	Lashi	Nishi Leqi/Lashi	blood	128	sui⁵⁵	su i ⁵⁵	s u i ⁵⁵	i m n t	128
680	Bola	Nishi Bola	blood	128	sï³⁵	s ï ³⁵	s ï/ʅ ³⁵	i n t	128
681	Achang	Nishi Achang	blood	128	sui³¹	su i ³¹	s u i ³¹	i m n t	128
682	Atsi	Nishi Zaiwa/Atsi	blood	128	sui²¹	su i ²¹	s u i ²¹	i m n t	128
1756	Maru	Nishi Langsu/Maru	blow away	339	mat³¹	m at ³¹	m a t ³¹	i n c t	337
1757	Xiandao	Nishi Xiandao	blow away	339	m̥ut⁵⁵	m̥ ut ⁵⁵	m̥ u t ⁵⁵	i n c t	337
1758	Lashi	Nishi Leqi/Lashi	blow away	339	mu:t³¹	m u:t ³¹	m u: t ³¹	i n c t	337
1759	Bola	Nishi Bola	blow away	339	mɔt³¹	m ɔt ³¹	m ɔ t ³¹	i n c t	337
1760	Achang	Nishi Achang	blow away	339	m̥ut⁵⁵	m̥ ut ⁵⁵	m̥ u t ⁵⁵	i n c t	337
1761	Atsi	Nishi Zaiwa/Atsi	blow away	339	mut²¹	mu t ²¹	m u t ²¹	i m i t	337
586	Maru	Nishi Langsu/Maru	blow(nose)	110	khjuk⁵⁵	khju k ⁵⁵	kʰ ju k ⁵⁵	i m i t	110
587	Xiandao	Nishi Xiandao	blow(nose)	110	tʂhau³¹	tʂh au ³¹	tʂʰ a u ³¹	i n nn t	110
