NUMBER	GLOSS	TBL_ID	CONCEPTICON_ID
287	the village	66	930
288	the wall	510	933
289	the water	47	948
290	the west	706	1817
291	the wheat	410	1077
292	the widow	251	1756
293	the wife	248	1199
294	the wind	9	960
295	the wing	298	1257
296	the winter	794	1471
297	the wolf	324	522
298	the woman	174	962
299	the wood (material)	511	1803
300	the year	777	1226
301	there	950	1937
302	thick	980	1244
303	thin (object)	967	2306
304	thirsty	1478	847
305	this	942	1214
306	thou [second person singular]	931	1215
307	three	799	492
308	tired	1495	1757
309	to be afraid	1366	1419
310	to be alive	1087	1422
311	to belch	1245	2245
312	to bite	1753	1403
313	to blow (of wind)	1738	175
314	to breathe	20	1407
315	to burn	1269	2102
316	to burn [intransitive]	1269	1428
317	to buy	1516	1869
318	to catch	1813	702
319	to chew	1424	321
320	to choose	1675	1750
321	to come	1491	1446
322	to cough	1477	879
323	to count	1640	1420
324	to crawl	1536	96
325	to cry (weep)	1485	1420
326	to dance	1677	1879
327	to die	1651	1494
328	to dig	1698	1418
329	to drink	1370	1401
330	to dye	1584	157
331	to eat	1198	1336
332	to enter	1447	749
333	to fight	1234	1423
334	to float	1553	1574
335	to flow	1502	2003
336	to fly (move through air)	1318	1441
337	to forget	1704	1523
338	to give	1345	1447
339	to hate	1373	1607
340	to hear	1682	1408
341	to hide (conceal)	1169	602
342	to hold	1709	1448
343	to hunt	1230	1435
344	to itch	1749	148
345	to kick	1667	1135
346	to kill	1602	1417
347	to knead	1594	274
348	to know (something)	1398	1410
349	to laugh	1735	1355
350	to learn	1742	504
351	to lick	1674	319
352	to lie down	1661	215
353	to listen	1681	1608
354	to love	1126	923
355	to marry (a man marries a woman)	1578	2164
356	to pee	1596	592
357	to pick	1782	371
358	to plant (vegetals, rice)	1774	1486
359	to play	1703	1413
360	to plough	1347	1921
361	to pull	1568	1455
362	to push	1689	1452
363	to remember	1407	707
364	to repair	1161	2243
365	to reside (live)	1452	1099
366	to return	1385	581
367	to ride	1566	367
368	to run	1544	1519
369	to scratch	1530	1436
370	to see	1471	1409
371	to sell	1517	1571
372	to sew	1324	1457
373	to shave	1352	231
374	to shiver	1303	52
375	to shoot (an arrow)	1611	1172
376	to shout	1368	715
377	to sing	1184	1261
378	to sink	1187	1088
379	to sleep	1646	1585
380	to smell (perceive odor) [transitive]	1707	1586
381	to smile	1735	1451
382	to sow (broadcast, scatter seeds)	1597	748
383	to speak	1649	1623
384	to spit	1688	1440
385	to split	1500	1437
386	to stand	1784	1442
387	to steal	1686	713
388	to suck	1648	1421
389	to swallow	1692	897
390	to swim	1763	1439
391	to tell	1337	1711
392	to think (reflect)	1726	1415
393	to throw	1687	1456
394	to tie	1141	1917
395	to vomit	1535	1278
396	to wait	1264	1590
397	to walk	1815	1443
398	to wash	1713	1453
399	to weave	1799	133
400	to wink	1780	1655
401	to winnow	1748	2462
402	to wipe	1163	1454
403	to yawn	1243	1028
404	today	738	1283
405	tomorrow	742	1329
406	twenty	816	1710
407	two	798	1498
408	warm	1065	1232
409	we [first person plural inclusive]	930	1131
410	wet	1029	1726
411	what	954	1236
412	where	955	1237
413	white	1006	1335
414	who	953	1235
415	yellow	1008	1424
416	yesterday	739	1174
417	you [second person plural]	933	1213
418	young	1059	1207
