NUMBER	FGLOSS	GLOSS	COVERAGE	OMEGAWIKI
202	the sprout or shoot	sprout or shoot	7	NAN
203	the star	star	16	6041
204	the stone	stone	16	3633
205	the sun	sun	18	5850
206	the sweat	sweat	8	1250835
207	the tail	tail	22	5468
208	the this year	this year	9	1577366
209	the thorn	thorn	15	1243793
210	the tongue	tongue	21	5440
211	the tooth	tooth	20	5946
212	the tree	tree	15	3854
213	the uncooked rice	uncooked rice	8	395506
214	the unhusked rice	unhusked rice	NAN	395506
215	the valley	valley	6	3938
216	the village	village	15	3968
217	the water	water	18	4118
218	the wife	wife	15	5429
219	the wind	wind	15	4160
220	the wing	wing	19	5528
221	the woman	woman	15	4165
222	the wood	wood	13	741520
223	the year	year	13	1577366
223	the year	year	13	1577370
223	the year	year	13	1577374
223	the year	year	13	5478
224	the year after next year	year after next year	NAN	5478
225	the year before last year	year before last year	11	NAN
226	there	there	14	858309
227	there is	there is	7	858309
228	they	they	14	352331
229	they two	they two	10	NAN
230	thick	thick	15	5503
231	thick (liquid)	thick (liquid)	7	5503
232	thin	thin	14	5990
233	thin (classifier)	thin (classifier)	8	NAN
234	thin (hair)	thin (hair)	6	NAN
235	thin (person)	thin (person)	11	5990
236	thin (thing)	thin (thing)	8	NAN
237	thin or watery	thin or watery	8	NAN
238	this	this	15	5458
239	this way	this way	7	NAN
240	thou	thou	9	5459
241	three	three	15	156096
242	to arrange	arrange	7	6432
243	to ascend	ascend	9	335553
244	to bark	bark	12	5439
245	to be familiar with	be familiar with	8	NAN
246	to be satiated	be satiated	10	1188869
247	to bear	bear	14	7552
248	to beat	beat	12	6855
249	to bite	bite	13	5993
250	to blow	blow	13	1375415
251	to blow the nose	blow nose	8	NAN
252	to blow the trumpet	blow trumpet	16	NAN
253	to boil	boil	13	347033
254	to breathe	breathe	7	5998
255	to burn	burn	8	1299599
255	to burn	burn	8	6039
256	to burn oneself	burn oneself	7	1299599
257	to buy	buy	12	8061
258	to carry	carry	7	335263
259	to climb	climb	7	479387
260	to come	come	15	6056
261	to come out	come out	7	480460
262	to cough	cough	12	373675
263	to count	count	11	6026
264	to cry	cry	16	7709
265	to cut	cut	15	6043
266	to deliver	deliver	8	963547
267	to descend	descend	14	980418
268	to die	die	19	6245
269	to die out (fire)	die out (fire)	7	NAN
270	to dig	dig	13	6024
271	to dig out with finger	dig out with finger	NAN	5675
272	to dream	dream	20	8448
273	to drink	drink	13	5991
274	to drive a car	drive a car	7	340699
275	to drive away	drive away	8	340699
276	to dry in the sun or air	dry in sun or air	14	980597
277	to dry near fire	dry near fire	NAN	1542663
278	to eat	eat	16	5827
279	to expel	expel	6	NAN
280	to fall	fall	15	5622
281	to fall asleep	fall asleep	7	480264
282	to fear	fear	9	6025
283	to fetch	fetch	7	NAN
284	to fight	fight	13	6030
285	to float	float	12	6457
286	to flow	flow	11	961244
287	to fly	fly	13	6052
288	to forget	forget	12	6328
289	to give	give	8	6059
290	to give birth	give birth	16	541498
291	to give out	give out	6	NAN
292	to grind	grind	13	441895
293	to hear	hear	13	5999
294	to hide	hide	13	161806
295	to hit (target)	hit (target)	14	6044
296	to hold	hold	14	6060
297	to hold (past tense)	hold (past tense)	7	6060
298	to hold a meeting	hold a meeting	6	NAN
299	to hold in arms	hold in arms	14	NAN
300	to hold in the mouth	hold in mouth	15	NAN
301	to hunt	hunt	12	6046
302	to kick	kick	14	500899
303	to kill	kill	13	6023
304	to know	know	15	6004
305	to laugh	laugh	16	5876
306	to lick	lick	18	1510483
307	to lie (on the floor)	lie (on floor)	7	6005
308	to live	live	7	6028
309	to pack	pack	7	NAN
310	to piss	piss	6	160433
311	to place	place	8	429615
312	to play	play	13	6010
313	to pour out	pour out	7	621011
314	to pull	pull	15	6071
315	to pull (cow)	pull (cow)	7	1496239
316	to pull down	pull down	7	NAN
317	to pull out	pull out	14	NAN
318	to pull over oneself	pull over oneself	7	6071
319	to pull up (weeds)	pull up (weeds)	7	761899
320	to push	push	14	6068
321	to push down	push down	7	6068
322	to put	put	13	429615
323	to put away	put away	8	NAN
324	to put in	put in	7	NAN
325	to put on	put on	14	1335540
326	to put one's hand on	put one's hand on	NAN	1335540
327	to put out to pasture	put out pasture	7	1443493
328	to rain	rain	18	5523
329	to rease	rease	6	NAN
330	to reside	reside	13	478515
331	to run	run	15	6323
332	to say	say	10	6075
333	to scratch	scratch	12	6047
334	to see	see	18	6003
335	to sell	sell	15	6439
336	to sew	sew	11	6073
337	to shoot	shoot	15	522875
338	to sing	sing	12	5540
339	to sit	sit	8	6022
340	to sit down	sit down	7	6785
341	to sleep	sleep	19	6519
342	to smell	smell	17	6520
342	to smell	smell	17	6521
343	to spit	spit	17	6051
344	to split	split	8	6048
345	to squeeze	squeeze	7	6017
346	to stab	stab	7	6045
347	to stand	stand	19	6053
348	to steal	steal	15	336072
349	to suck	suck	11	6027
350	to sweat	sweat	13	1250835
351	to swell	swell	16	6454
352	to swim	swim	7	6050
353	to think (reflect)	think (reflect)	14	6021
354	to throw	throw	15	6072
355	to tie into a bundle	tie ina bundle	6	844574
356	to tie up	tie up	7	844574
357	to turn	turn	7	6526
358	to turn around	turn around	7	1584109
359	to turn one's head to the back	turn one's head back	6	1584109
360	to turn over	turn over	7	6526
361	to vomit	vomit	18	5617
362	to walk	walk	14	6054
363	to warm oneself	warm oneself	8	542675
364	to warm oneself warm	warm oneself warm	542675	5485
365	to wash something	wash something	15	6069
366	to weave	weave	15	1280854
367	to wind	wind	7	4160
368	to wipe	wipe	16	6070
369	to wring	wring	6	6017
370	tomorrow night	tomorrow night	7	NAN
371	twenty	twenty	14	7013
372	two	two	15	6248
373	warm	warm	12	5485
374	we	we	14	5455
375	we (inclusive)	we (inclusive)	13	496905
376	we two	we two	10	NAN
377	wet	wet	12	7027
378	what?	what?	14	5491
379	when?	when?	7	5493
380	where?	where?	14	5492
381	white	white	12	5825
382	who?	who?	15	5490
383	wide	wide	14	5502
384	yellow	yellow	11	6031
385	yesterday night	yesterday night	7	NAN
386	you	you	12	5456
387	you two	you two	8	NAN
