Source	Target	Orthography	Frequency	Language	
ɛ̃	ɛ̃		14	Bola	
ɣ	ɣ		11	Bola	
ɿ	ɿ		4	Bola	
ʃ	ʃ		19	Bola	
ʔ	ʔ		54	Bola	
⁵³	⁵³		1	Bola	
⁵¹	⁵¹		3	Bola	
⁵⁵	⁵⁵		135	Bola	
∼	∼		44	Bola	
◦	+		85	Lashi	
ɑ̱	?		1	Lashi	
e̱ː	?		1	Lashi	
ĭ	?		1	Lashi	
e̱	?		2	Lashi	
ɛ̱ː	?		2	Lashi	
i̱ː	?		2	Lashi	
i̱	?		3	Lashi	
ə̱ː	?		4	Lashi	
ɔ̱ː	?		4	Lashi	
a̱ː	?		5	Lashi	
ɛ̱	?		5	Lashi	
u̱	?		6	Lashi	
o̱	?		6	Lashi	
u̱ː	?		7	Lashi	
ɔ̱	?		12	Lashi	
ə̱	?		12	Lashi	
a̱	?		15	Lashi	
a	a		36	Lashi	
aː	aː		16	Lashi	
e	e		16	Lashi	
eː	eː		3	Lashi	
f	f		1	Lashi	
i	i		34	Lashi	
iː	iː		3	Lashi	
j	j		68	Lashi	
k	k		40	Lashi	
kʰ	kʰ		8	Lashi	
kh	kʰ		10	Lashi	
l	l		25	Lashi	
m	m		52	Lashi	
n	n		41	Lashi	
o	o		31	Lashi	
p	p		33	Lashi	
pʰ	pʰ		1	Lashi	
ph	pʰ		4	Lashi	
s	s		23	Lashi	
t	t		30	Lashi	
ʦ	ts		3	Lashi	
ts	ts		8	Lashi	
tsh	tsʰ		4	Lashi	
tʃ	tʃ		8	Lashi	
tʃh	tʃʰ		3	Lashi	
tʰ	tʰ		2	Lashi	
th	tʰ		4	Lashi	
u	u		39	Lashi	
uː	uː		11	Lashi	
v	v		3	Lashi	
w	w		5	Lashi	
x	x		5	Lashi	
yː	yː		1	Lashi	
²¹	²¹		1	Lashi	
³³	³³		89	Lashi	
³¹	³¹		78	Lashi	
ă	ă		2	Lashi	
ŋ	ŋ		62	Lashi	
ŏ	ŏ		7	Lashi	
ɑ	ɑ		1	Lashi	
ɔ	ɔ		19	Lashi	
ɔː	ɔː		11	Lashi	
ə	ə		8	Lashi	
əː	əː		8	Lashi	
ə̆	ə̆		7	Lashi	
ɛ	ɛ		5	Lashi	
ɛː	ɛː		8	Lashi	
ɣ	ɣ		1	Lashi	
ɿ	ɿ		2	Lashi	
ʃ	ʃ		23	Lashi	
ʔ	ʔ		25	Lashi	
⁵³	⁵³		15	Lashi	
⁵⁵	⁵⁵		107	Lashi	
◦	+		80	Maru	
ɛ̆	?		1	Maru	
ɛ̱̃	?		1	Maru	
ɔ̃̆	?		1	Maru	
ɔ̱̃	?		1	Maru	
ø̱	?		1	Maru	
u̱	?		4	Maru	
i̱	?		7	Maru	
ɛ̱	?		8	Maru	
ɔ̱	?		9	Maru	
ɔ̆	?		10	Maru	
a̱	?		30	Maru	
a	a		64	Maru	
f	f		2	Maru	
i	i		40	Maru	
j	j		58	Maru	
k	k		72	Maru	
kʰ	kʰ		7	Maru	
kh	kʰ		9	Maru	
l	l		28	Maru	
m	m		52	Maru	
mh	mʰ		1	Maru	
n	n		27	Maru	
o	o		2	Maru	
p	p		24	Maru	
pʰ	pʰ		1	Maru	
ph	pʰ		6	Maru	
s	s		19	Maru	
t	t		21	Maru	
ʦ	ts		4	Maru	
ts	ts		9	Maru	
tsh	tsʰ		4	Maru	
tʃ	tʃ		11	Maru	
tʃh	tʃʰ		6	Maru	
tʰ	tʰ		2	Maru	
th	tʰ		8	Maru	
u	u		55	Maru	
v	v		10	Maru	
x	x		6	Maru	
²¹	²¹		1	Maru	
³¹	³¹		131	Maru	
³⁵	³⁵		76	Maru	
ø	ø		3	Maru	
ŋ	ŋ		49	Maru	
ŏ	ŏ		1	Maru	
ɔ	ɔ		53	Maru	
ɔ̃	ɔ̃		20	Maru	
ə	ə		8	Maru	
ə̆	ə̆		9	Maru	
ɛ	ɛ		24	Maru	
ɛ̃	ɛ̃		5	Maru	
ɣ	ɣ		12	Maru	
ɤ	ɤ		1	Maru	
ʃ	ʃ		22	Maru	
ʔ	ʔ		41	Maru	
ẽ	ẽ		1	Maru	
⁵⁵	⁵⁵		84	Maru	
∼	∼		28	Maru	
◦	+		86	Rangoon	
û	u 		1	Rangoon	
hn	n̥ 		3	Rangoon	probably some mistake
sh	sʰ		12	Rangoon	
a	a		3	Rangoon	
b	b		7	Rangoon	
d	d		3	Rangoon	
ʥ	dʑ		2	Rangoon	
e	e		40	Rangoon	
g	g		1	Rangoon	
h	h		1	Rangoon	
i	i		50	Rangoon	
