	Mann number	Nishi Number	WB	OB	Reconstruction	Nishi meaning	Nishi Achang	Nishi Achang source	Nishi Xiandao	Nishi Xiandao source	Nishi Zaiwa/Atsi	Nishi Zaiwa/Atsi source	Nishi Leqi/Lashi	Nishi Leqi/Lashi source	Nishi Langsu/Maru	Nishi Langsu/Maru source	Nishi Bola	Nishi Bola source
	006a	31	nhaṅḥ			frost, mist	ŋ̊an⁵⁵	Sun1991	ŋ̊an⁵⁵	Sun1991	ŋạn⁵¹	Sun1991	ŋạn³³	Sun1991	ŋạŋ³¹	Sun1991	ŋɛ̣̃⁵⁵	Sun1991
	332a	32		ryā	ɂry-	hundred					ʃo⁵¹	Sun1991	ʃọ³³	Sun1991	ʃɔ³¹	Sun1991	ja⁵⁵	Sun1991
		33	rhā			search					xo⁵¹	Sun1991	ʃɔ:̣³³	Sun1991	xɔ³¹	Sun1991	xa⁵⁵	Sun1991
	341a	34	rhañ			long	səŋ⁵⁵	Sun1991	sɤŋ⁵⁵	Sun1991	xiŋ⁵¹	Sun1991	ʃẹ:ŋ³³	Sun1991	xaŋ³¹	Sun1991	xaŋ⁵⁵	Sun1991
		35	phyaṁ		sram|pram	otter	sam⁵⁵	Sun1991			xam⁵¹	Sun1991	ʃạm³³	Sun1991	xɛ̃³¹	Sun1991	xɛ̃⁵⁵	Sun1991
	185a	36	lhe			boat	xə⁵⁵	Sun1991	xɤ⁵⁵	Sun1991	lại⁵¹	Sun1991			lạ³¹	Sun1991	lị⁵⁵	Sun1991
57		37	lhyā			tongue	ɕɔ⁵⁵	Sun1991	çɔ⁵⁵	Sun1991	ʃo⁵¹	Sun1991	jọ³³	Sun1991	ʃɔ³¹	Sun1991	ʃa⁵⁵	Sun1991
		38				be, have	pɔ⁵⁵	Sun1991	pɔ³¹	Sun1991	po⁵¹	Sun1991	pɔ:³¹	Sun1991	po³¹	Sun1991	pa⁵⁵	Sun1991
		39	puṁ			moutain; heap	pum⁵⁵	Sun1991	pum⁵⁵	Sun1991	pum⁵¹	Sun1991	pɔm³¹	Sun1991	pam³¹	Sun1991	pam⁵⁵	Sun1991
		40	prā			soul, spirit	-pʐua⁵⁵	Sun1991	-pʐɔ⁵⁵	Sun1991	-pjo⁵¹	Sun1991	-pju³¹	Sun1991	-pjɔ³¹	Sun1991		
		41	prañ			pus	pʐəŋ⁵⁵	Sun1991	pʐɯŋ⁵⁵	Sun1991	pjiŋ⁵¹-	Sun1991			pjan³¹-	Sun1991	pjaŋ⁵⁵	Sun1991
		42	tū			hammer					-tu⁵¹	Sun1991	-tu³¹	Sun1991	-tau³¹	Sun1991	-tu⁵⁵	Sun1991
	095a	43	toṅ			wing	-tuŋ⁵⁵	Sun1991	-tuŋ⁵⁵	Sun1991	tuŋ⁵¹	Sun1991	tuŋ³¹	Sun1991	tauŋ³¹	Sun1991	tauŋ⁵⁵	Sun1991
		44	-cā			rice(cooked)	tɕɔ⁵⁵	Sun1991	cɔ⁵⁵	Sun1991					tsɔ³¹	Sun1991	ta⁵⁵	Sun1991
		45				bridge	tɕam⁵⁵	Sun1991	cam⁵⁵	Sun1991	tsam⁵¹	Sun1991	tsam³¹	Sun1991	tsɛ̃³¹	Sun1991	tsɛ̃⁵⁵	Sun1991
		46	cwan			kite; hawk			cun³¹-	Sun1991	tsun⁵¹	Sun1991	tsɔn³¹	Sun1991	tsum³¹	Sun1991	tsɔn⁵⁵	Sun1991
		47	cañ			drum	tɕeŋ⁵⁵	Sun1991			tsiŋ⁵¹	Sun1991	tsəŋ³¹	Sun1991	tsaŋ³¹-	Sun1991	taŋ⁵⁵	Sun1991
	092a	48	cway			tooth	tɕoi⁵⁵	Sun1991	cui⁵⁵	Sun1991	tsui⁵¹	Sun1991	tsï³¹	Sun1991	tsɔi³¹	Sun1991	tui⁵⁵	Sun1991
		49	kaṅ			warm by (fire)	kuaŋ⁵⁵	Sun1991			kaŋ⁵¹	Sun1991	ka:ŋ³¹	Sun1991	kɔ̃³¹	Sun1991	kɔ̃⁵⁵	Sun1991
	050a	50	mhui		m-	mushroom	mau⁵⁵	Sun1991			mau⁵¹-	Sun1991	mou³¹-	Sun1991	muk³¹	Sun1991	mau⁵⁵	Sun1991
72	182a	51	-mañ			named; (name vt)	-ñiŋ⁵⁵	Sun1991	niŋ⁵⁵	Sun1991	mjiŋ⁵¹	Sun1991	mjiŋ³¹	Sun1991	maŋ³¹	Sun1991	maŋ⁵⁵	Sun1991
		52	mrañ			loud	mʐəŋ⁵⁵	Sun1991	mɤŋ⁵⁵	Sun1991	mjiŋ⁵¹	Sun1991	mjə:ŋ³¹	Sun1991	mjaŋ³¹	Sun1991	mjaŋ⁵⁵	Sun1991
	224a	53	mraṅ			see	-mʐaŋ⁵⁵	Sun1991	mʐaŋ⁵⁵	Sun1991	mjaŋ⁵¹	Sun1991	mja:ŋ³¹	Sun1991	mjɔ̃³¹	Sun1991	mjɔ̃⁵⁵	Sun1991
	228a	54		mluiw|myuiw		swallow			ɲau⁵⁵	Sun1991	mjị⁵¹	Sun1991			mjuk³¹	Sun1991	mjuŋ⁵⁵	Sun1991
25	264a	56	nā			hurt, ill	nɔ⁵⁵	Sun1991	nɔ⁵⁵	Sun1991	no⁵¹	Sun1991	nɔ:³¹	Sun1991	nɔ³¹	Sun1991	na⁵⁵	Sun1991
	026b	55		mliy		earth, soil	mi⁵⁵	Sun1991	m̥i⁵⁵	Sun1991	mji⁵¹-	Sun1991	mji³¹-	Sun1991	mjik³¹	Sun1991	məi⁵⁵|mi⁵⁵-	Sun1991
		57	naṅ			thou (2sg nom.)	nuaŋ⁵⁵	Sun1991	nɔŋ⁵⁵	Sun1991	naŋ⁵¹	Sun1991	naŋ³¹	Sun1991	nɔ̃³¹	Sun1991	nɔ̃⁵⁵	Sun1991
		58	ne			be, live	ni⁵⁵	Sun1991	nai⁵⁵	Sun1991	ŋji⁵¹	Sun1991	ŋje:³¹	Sun1991	na³¹	Sun1991	ŋji⁵⁵	Sun1991
	364a	59	nī			red	na⁵⁵	Sun1991	na⁵⁵	Sun1991	ne⁵¹	Sun1991	nɛ:³¹	Sun1991	nɛ³¹	Sun1991	nɛ⁵⁵	Sun1991
		60	-nway			cane, vine	nui⁵⁵	Sun1991	-nui⁵⁵	Sun1991	nui⁵¹	Sun1991			nɔi³¹	Sun1991	nø⁵⁵	Sun1991
66	127a	61	nhā			nose			n̥ap³¹	Sun1991	nọ⁵¹	Sun1991	nọ³³	Sun1991	nɔ̣³¹	Sun1991	nạ⁵⁵	Sun1991
		62	nhaṁ			ear, spike	-n̥am⁵⁵	Sun1991	-n̥am⁵⁵	Sun1991	-nạm⁵¹	Sun1991	-nạm³³	Sun1991	nɛ̃³¹	Sun1991	nɛ̣̃⁵⁵	Sun1991
	365a	63	ñui			green, blue, brown	ñau⁵⁵	Sun1991	ɲau⁵⁵	Sun1991	ŋjui⁵¹	Sun1991	ŋja:u³¹	Sun1991	ŋjuk³¹	Sun1991	ŋjuŋ⁵⁵	Sun1991
		64	ṅā			I(1sg. nom.)	ŋɔ⁵⁵	Sun1991	ŋɔ⁵⁵	Sun1991	ŋo⁵¹	Sun1991	ŋo³¹	Sun1991	ŋɔ³¹	Sun1991	ŋa⁵⁵	Sun1991
	226a	65	ṅui			weep	ŋau⁵⁵	Sun1991	ŋau⁵⁵	Sun1991	ŋau⁵¹	Sun1991	ŋa:u³¹	Sun1991	ŋuk³¹	Sun1991	ŋau⁵⁵	Sun1991
	033a	66	ṅuy			silver	ŋui⁵⁵	Sun1991	ŋui⁵⁵	Sun1991	ŋun⁵¹	Sun1991	ŋə³¹	Sun1991	ŋø³¹	Sun1991	ŋø⁵⁵	Sun1991
	023a	67	re			water					vui⁵¹	Sun1991	?kjei³¹	Sun1991	ɣək³¹	Sun1991	ɣəi⁵⁵	Sun1991
		68	ray			to laugh, smile	ʐə⁵⁵	Sun1991	ʐɯ⁵⁵	Sun1991	vui⁵¹	Sun1991	ji:³¹	Sun1991	ɣəi³¹	Sun1991	ɣəi⁵⁵	Sun1991
		69	raṅ			chest					vaŋ⁵¹-	Sun1991	jaŋ³¹-	Sun1991	ɣɔ̃³¹-	Sun1991	ɣɔ⁵⁵-	Sun1991
46	007a	70	rwā			rain	ʐo⁵⁵	Sun1991	ʐo⁵⁵	Sun1991	vo⁵¹	Sun1991	wɔ:⁵³	Sun1991	vu³¹	Sun1991	ɣɔ⁵⁵-	Sun1991
	183a	71	rwā			village	o⁵⁵	Sun1991	o⁵⁵	Sun1991	va⁵¹	Sun1991	wo³¹	Sun1991	vɔ³¹	Sun1991	va⁵⁵	Sun1991
		72	-raṁ			wall					-vam⁵¹	Sun1991	-jam³¹	Sun1991	-ɣɛ̃³¹	Sun1991		
3		73	liy			air, breeze, wind	l̥i⁵⁵	Sun1991	lai⁵⁵	Sun1991	lai⁵¹	Sun1991	lei³¹	Sun1991	la³¹	Sun1991	lei⁵⁵|li⁵⁵	Sun1991
		74	laṅ			husband					laŋ⁵¹	Sun1991	laŋ³¹	Sun1991	lɔ̃³¹	Sun1991	jɔ̃³¹lɔ̃⁵⁵	Sun1991
		75	laññ			neck	laŋ³¹-	Sun1991	lɤŋ³¹-	Sun1991	liŋ⁵¹-	Sun1991	ləŋ³¹-	Sun1991	laŋ³¹-	Sun1991	laŋ⁵⁵-	Sun1991
47		76	laṁ			unit of length = two yards	lam⁵⁵	Sun1991	lam⁵⁵	Sun1991	lam⁵¹	Sun1991	lam³¹	Sun1991	lɛ̃³¹	Sun1991	lɛ̃⁵⁵	Sun1991
		77				(luke)warm	lum⁵⁵	Sun1991	lum⁵⁵	Sun1991		Sun1991	lu:ŋ³¹	Sun1991			lam⁵⁵	Sun1991
		78				rely/lean on					lum⁵¹	Sun1991	lu:m³¹	Sun1991	lam³¹	Sun1991	lam⁵⁵	Sun1991
