	Mann number	Nishi Number	WB	OB	Reconstruction	Nishi meaning	Nishi Achang	Nishi Achang source	Nishi Xiandao	Nishi Xiandao source	Nishi Zaiwa/Atsi	Nishi Zaiwa/Atsi source	Nishi Leqi/Lashi	Nishi Leqi/Lashi source	Nishi Langsu/Maru	Nishi Langsu/Maru source	Nishi Bola	Nishi Bola source
22	161a	135	sāḥ			meat, flesh	ʂua³¹	Sun1991	ʂɔ³¹	Sun1991	ʃo²¹	Sun1991	ʃɔ⁵⁵	Sun1991	ʃɔ³⁵	Sun1991	ʃa³⁵	Sun1991
	110a	136	sanḥ			louse	ʂan³¹	Sun1991	ʂan³¹	Sun1991	ʃin²¹	Sun1991	ʃɛ̣n⁵⁵	Sun1991	ʃiŋ³⁵	Sun1991	ʃɔn³⁵	Sun1991
68		137	mweḥ		ɂm-	body hair	-mui³¹	Sun1991	mui³¹	Sun1991	-mau⁵⁵	Sun1991	-mou⁵⁵	Sun1991	-muk⁵⁵	Sun1991	-mau³⁵	Sun1991
		138				pave, lay	m̥ɔ³¹	Sun1991	m̥ʐoŋ³¹	Sun1991			mjụ⁵⁵	Sun1991	jạuŋ⁵⁵	Sun1991	mjụŋ³⁵	Sun1991
		139	nhamḥ			sesame			n̥am³¹	Sun1991	nạm²¹	Sun1991	nạm⁵⁵-	Sun1991	nɛ̣̣³⁵	Sun1991	nɛ̣̣̃³⁵--³¹pi⁵⁵	Sun1991
	149a	140	ñhuiḥ			finger	-ñ̥au³¹	Sun1991	-ɲ̊au³¹	Sun1991	-ŋjụ²¹	Sun1991	-ŋjọ⁵⁵	Sun1991	-ŋjụk⁵⁵	Sun1991	-ŋjụŋ³⁵	Sun1991
		140	ñañḥ			to scold; complain					nịŋ²¹	Sun1991	nə̣:ŋ⁵⁵	Sun1991				
		141				male genitals	ñ̥i³¹-	Sun1991	n̥i³¹	Sun1991	ŋjị²¹	Sun1991	ŋjị⁵⁵	Sun1991	ŋjị³⁵	Sun1991	ŋjị³⁵	Sun1991
		143	ñhuiḥ			wither, fade	ñ̥au³¹	Sun1991	ɲ̊au³¹	Sun1991	ŋjụ²¹	Sun1991	-ŋjạ:u⁵⁵	Sun1991			ŋjụ³⁵	Sun1991
		144	ṅhāḥ 			to borrow (tools)	m̥ɔ³¹	Sun1991	ŋ̊ɔ³¹	Sun1991	ŋọ²¹	Sun1991	ŋɔ̣:⁵⁵	Sun1991	ŋɔ̣³⁵	Sun1991	ŋạ³⁵	Sun1991
	318a	145	roṅḥ			sell	uŋ³¹	Sun1991	uŋ³¹	Sun1991	uŋ²¹	Sun1991	ɔ:ŋ⁵⁵	Sun1991	auŋ³⁵	Sun1991	auŋ³⁵	Sun1991
		146				to plant (tree)	sɔ³¹	Sun1991	sɔ³¹	Sun1991	xo²¹	Sun1991	ʃɔ:⁵⁵	Sun1991	xɔ³⁵	Sun1991	xa³⁵	Sun1991
		147				topple down			l̥in³¹	Sun1991	-lẹŋ²¹	Sun1991	-lə̣:ŋ⁵⁵	Sun1991	lạŋ⁵³	Sun1991	laŋ³⁵	Sun1991
		148				overthrow, down	ləŋ³¹	Sun1991	liŋ³¹	Sun1991	-lẹŋ²¹	Sun1991	-lə̣ŋ⁵⁵	Sun1991	-lạŋ³¹	Sun1991	lạŋ³⁵	Sun1991
		149	lheḥ			flea	l̥i³¹	Sun1991	-lai³¹	Sun1991	-lại²¹	Sun1991	-lẹi⁵⁵	Sun1991	-lạ³⁵	Sun1991	-lụi³⁵	Sun1991
	288a	150	peḥ			give					pji²¹	Sun1991	pje:i³³	Sun1991	pjik⁵⁵	Sun1991	pi³¹	Sun1991
	107a	151	puiḥ			insect	pau³¹	Sun1991	pau³¹	Sun1991	pau²¹	Sun1991	pou³³	Sun1991	puk⁵⁵	Sun1991	pau³¹	Sun1991
	044a	152	panḥ			flower			pan⁵⁵-	Sun1991	pan²¹	Sun1991	pan³³	Sun1991	pəŋ³⁵	Sun1991	pɛ̃³¹-	Sun1991
		153	poṅḥ			to steam	poŋ³¹	Sun1991			puŋ²¹	Sun1991	pɔ:ŋ³³	Dai1991	pauŋ³⁵	Sun1991	pauŋ³¹	Sun1991
		154	poṅḥ-			bamboo steamer	-puŋ³¹	Sun1991	puŋ³¹	Sun1991	puŋ²¹-	Sun1991	pɔŋ³³-	Sun1991	pauŋ³⁵	Sun1991	pauŋ³¹	Sun1991
		155				(two) CL (birds)	tu³¹	Sun1991	tu⁵¹	Sun1991	tu²¹	Sun1991	tu³³	Sun1991	tau³⁵	Sun1991	tɔ³¹	Sun1991
		156	tūḥ			dig/scoop out	tu³¹	Sun1991	tu³¹	Sun1991	tu²¹	Sun1991	tu³³	Sun1991	tau³⁵	Sun1991		
		157				roll up; circle	təŋ³¹	Sun1991	tɤŋ³¹	Sun1991	tiŋ²¹	Sun1991	tə:ŋ³³	Sun1991	tɔ̃³⁵-	Sun1991	taŋ³¹	Sun1991
		158	twāḥ			to crawl	to³¹	Sun1991	to³¹	Sun1991	to²¹	Sun1991			tũ³⁵	Sun1991	tɔ³¹	Sun1991
	279a	159	twanḥ			push; press	tun³¹	Sun1991	tun³¹	Sun1991	tun²¹	Sun1991	tu:n³³	Sun1991	tum̃³⁵	Sun1991	tɔn³¹	Sun1991
		160				neck	-tsəŋ³¹	Sun1991	-tsɤŋ³¹	Sun1991	-tsiŋ²¹	Sun1991	-tsəŋ³³	Sun1991	-tsaŋ³⁵	Sun1991	-taŋ³¹	Sun1991
	041a	161	cūḥ			thorn	tɕo³¹	Sun1991	cu³¹	Sun1991	tsu²¹	Sun1991	tsu³³	Sun1991	tsau³⁵	Sun1991	tu³¹	Sun1991
	227a	162	cāḥ			eat	cɔ³¹	Sun1991			tso²¹	Sun1991	tsɔ:³³	Sun1991	tsɔ³⁵	Sun1991	ta³¹	Sun1991
		163				son	tsɔ³¹	Sun1991	-tsɔ³¹	Sun1991	-tso²¹	Sun1991			tsɔ³⁵	Sun1991	ta³¹	Sun1991
		164	cīḥ			ride	tsi³¹	Sun1991	tsi³¹	Sun1991	tʃi²¹	Sun1991	tʃy:³³	Sun1991	tʃui³⁵	Sun1991	tʃui³¹	Sun1991
	339a	165	krīḥ			big	kʐə³¹	Sun1991	kɯ³¹	Sun1991			kji:³³	Sun1991	ɣə³⁵	Sun1991		
		166	kūḥ			cross (river)					ku²¹	Sun1991	ku:³³	Sun1991	kau³⁵	Sun1991	ku³¹	Sun1991
	330a	167	kuiḥ			nine	kau³¹	Sun1991	kau³¹	Sun1991	kau²¹	Sun1991	kou³³	Sun1991	kuk³¹	Sun1991	kau³¹	Sun1991
		168	kyuiḥ			break, snap (vi)	kʐau³¹	Sun1991	kʐau³¹	Sun1991	kjui²¹	Sun1991	kja:u³³	Sun1991	kjuk⁵⁵	Sun1991	kju³¹	Sun1991
		169	kreḥ			copper					kji²¹	Sun1991	kjei³³	Sun1991	kjik⁵⁵	Sun1991	kji³¹	Sun1991
	222b	170	krāḥ			hear	kʐua³¹	Sun1991	kʐɔ³¹	Sun1991	kjo²¹	Sun1991	kjɔ:³³	Sun1991	kjɔ³⁵	Sun1991	kja³¹	Sun1991
		171	krañ			clear (water)	kʐəŋ³¹	Sun1991	kɯŋ³¹	Sun1991	kjiŋ²¹	Sun1991	kjə:ŋ³³	Sun1991	kjaŋ³⁵	Sun1991	kjaŋ³¹	Sun1991
58	212a	172	mīḥ			fire	ni³¹-	Sun1991	n̥i³¹-	Sun1991	mji²¹	Sun1991	mji³³	Sun1991	mji³⁵	Sun1991	mi³¹	Sun1991
89		173		mī-ma		woman	ñi³¹	Sun1991	ni⁵⁵-	Sun1991	mji²¹	Sun1991	mji³³	Sun1991	mji³⁵	Sun1991	mi³¹	Sun1991
		174	meḥ			ask	ñi³¹	Sun1991	ni³¹	Sun1991	mji²¹	Sun1991	mje:i³³	Sun1991	mjik⁵⁵	Sun1991	məi³¹	Sun1991
	001a	175	muiwḥ			sky	mau³¹	Sun1991	mau³¹	Sun1991	mau²¹-	Sun1991	mou³³-	Sun1991	muk⁵⁵	Sun1991	mau³¹-	Sun1991
		176	-maṅḥ			be old	muaŋ³¹	Sun1991	mɔŋ³¹	Sun1991	mjaŋ²¹	Sun1991	maŋ³³	Sun1991	mɔ̃³⁵	Sun1991	mɔ̃³¹	Sun1991
		177	moṅḥ		-ḥ|-ɂ	gong	mɔŋ⁵⁵	Sun1991	mɔŋ⁵⁵	Sun1991			maŋ⁵⁵	Sun1991	mɔ̃³⁵	Sun1991	mɔ̃³⁵	Sun1991
	334a	178	myāḥ			many	ñɔ³¹	Sun1991	ɲɔ³¹	Sun1991	mjo²¹	Sun1991	mjɔ:³³	Sun1991	mjɔ³⁵	Sun1991	mja³¹	Sun1991
		179	myuiḥ			seed	-ñau³¹	Sun1991	-ɲau³¹	Sun1991	-mji²¹	Sun1991	-mjou³³	Sun1991	mjuk⁵⁵	Sun1991	-mjuŋ³¹	Sun1991
59	090b	180	mrīḥ			tail					-mji²¹	Sun1991	-mji³³	Sun1991	-mji³¹	Sun1991	-mi³¹	Sun1991
		181		mliyḥ		grandchild	mi³¹-	Sun1991	mi³¹-	Sun1991	-mji²¹	Sun1991	mei³³-	Sun1991	mjik³¹	Sun1991	məi³¹-	Sun1991
		182	mraṅḥ			horse	mʐaŋ³¹	Sun1991	m̥ʐaŋ³¹	Sun1991	mjaŋ²¹	Sun1991	mjaŋ³³	Sun1991	mjɔ̃³⁵	Sun1991	mjɔ̃³¹	Sun1991
		183	nāḥ			to rest	nɔ³¹	Sun1991	nɔ³¹	Sun1991	no²¹	Sun1991	nɔ:³³	Sun1991	nɔ³⁵	Sun1991	na³¹	Sun1991
		184	naṅḥ			step on, tread	nuaŋ³¹	Sun1991			naŋ²¹	Sun1991	na:ŋ³³	Sun1991	nɔ̃³⁵	Sun1991	nɔ̃³¹	Sun1991
	086a	185	nwāḥ			cow, cattle	n̥o³¹	Sun1991	no³¹	Sun1991	no²¹	Sun1991	no³³	Sun1991	nuŋ³⁵	Sun1991	nɔ³¹	Sun1991
		186		klway		buffalo			-lui³¹	Sun1991	-lui²¹	Sun1991	-lə³³	Sun1991	-lɔi³⁵	Sun1991	-lui³¹	Sun1991
		187	yaṅḥ		Ny-	he (3sg. nom.)	ñ̥aŋ³¹	Sun1991	ɲ̊aŋ³¹	Sun1991	jạŋ²¹	Sun1991	ŋjaŋ³³	Sun1991	jɔ̃³⁵	Sun1991	jɔ̃³¹	Sun1991
	326a	188	ṅāḥ			five	ŋɔ³¹	Sun1991	ŋɔ³¹	Sun1991	ŋɔ²¹	Sun1991	ŋ³³	Sun1991	ŋɔ⁵⁵	Sun1991	ŋa³¹	Sun1991
78	159b	189	ruiḥ			bone	-ʐau³¹	Sun1991	-ʐau³¹	Sun1991	-vui²¹	Sun1991	-jou³³	Sun1991	-ɣuk⁵⁵	Sun1991	-u³¹	Sun1991
		190				(tissue)swell	ʐam³¹	Sun1991	ʐam³¹	Sun1991	vam²¹	Sun1991	ja:m³³	Sun1991	vɛ̃⁵⁵	Sun1991	vɛ̃³⁵	Sun1991
		191				male(animal)	-lɔ³¹	Sun1991	-lɔ³¹	Sun1991	-lo²¹	Sun1991	-lo³³	Sun1991	-lo³⁵	Sun1991	-la³¹	Sun1991
	386a	192	leḥ			heavy	li³¹	Sun1991	lai³¹	Sun1991	lai²¹	Sun1991	la:i³³	Sun1991	la³⁵	Sun1991	li³¹	Sun1991
39	218a	193	leḥ			bow			l̥ai³⁵	Sun1991	lai²¹	Sun1991	la:i³³	Sun1991	la³⁵	Sun1991	li³¹	Sun1991
		194				roll	liŋ³¹	Sun1991	liŋ³¹	Sun1991	ləŋ²¹	Sun1991	lə:ŋ³³	Sun1991	laŋ⁵⁵-	Sun1991	-laŋ³⁵	Sun1991
54	353a	195	lumḥ			spherical	-lum³¹	Sun1991	-lum³¹	Sun1991	-lụm²¹	Sun1991	-lɔm³³	Sun1991	-lam³⁵	Sun1991	-lam³¹	Sun1991
95	266a	196	yāḥ			to itch	jɔ³¹	Sun1991	jɔ³¹	Sun1991	jo²¹	Sun1991	jɔ:³³	Sun1991	jo³¹	Sun1991	ja³¹	Sun1991
		197				pot, jar, tin	jam³¹	Sun1991	jam³¹	Sun1991	jam²¹	Sun1991	jam³³	Sun1991	jɛ̃³⁵	Sun1991	jɛ̃³¹	Sun1991
35	048a	198	wāḥ			bamboo	o³¹	Sun1991	o³¹	Sun1991	va²¹	Sun1991	wo³³	Sun1991	vɔ³⁵	Sun1991	va³¹	Sun1991
	358a	199	weḥ			far	ve³¹	Sun1991	vɛ³¹	Sun1991	ve²¹	Sun1991	vɛ:³³	Sun1991	va³⁵	Sun1991	vɛ³¹	Sun1991
	139a	200	wamḥ			abdomen	ɔm³¹-	Sun1991	om³¹	Sun1991	vam²¹	Sun1991	wɔm³³-	Sun1991	vě³⁵-	Sun1991	vɛ³¹-	Sun1991
		201	phwaṅɂ			open; to lift (lid)	phɔŋ³⁵	Sun1991	phoŋ³⁵	Sun1991	phoŋ⁵⁵	Sun1991	pha:ŋ⁵³	Sun1991	phuŋ⁵⁵	Sun1991	phuŋ³⁵	Sun1991
		202	phraṅɂ			fill up			phɯŋ³⁵	Sun1991							pjạŋ³⁵	Sun1991
		203	tha			rise, stand up	thɔ³⁵	Sun1991	thɔɂ³⁵	Sun1991	tọɂ⁵⁵	Sun1991	tɔ̣:⁵³	Sun1991	tɔ̣⁵⁵	Sun1991	tạɂ³⁵	Sun1991
		204	-tuiɂ			we	-tuɂ³⁵	Sun1991	-tu³⁵	Sun1991								
		205	chuiɂ			block up, plug			tshi³⁵	Sun1991			tsha:u⁵³	Sun1991			tshau³⁵	Sun1991
		206				follow	tʂhaŋ³⁵	Sun1991	tʂhaŋ³⁵	Sun1991	tʃhaŋ⁵⁵	Sun1991	tʃha:ŋ⁵³	Sun1991	tʃhɔ̃⁵⁵	Sun1991	tʃhɔ̃³⁵	Sun1991
		207		khin	-ɂ	weigh (food)					tʃhin⁵⁵	Xu1984			tʃhəŋ⁵⁵	Sun1991	tʃhɔn³⁵	Sun1991
		208	-mi		ɂm-	mother; woman							-mjị⁵³	Sun1991	-mjị⁵⁵	Sun1991	mị³⁵	Sun1991
		209	meɂ			forget	ñi³⁵	Sun1991	niɂ⁵⁵ni³⁵	Sun1991	mji⁵⁵	Sun1991	mjẹ:i⁵³	Sun1991	mjịk⁵⁵	Sun1991	mə̣i³⁵	Sun1991
		210	mhā		ɂmaɂ	teach; learn	m̥ɔɂ³⁵	Sun1991			mọɂ⁵⁵-	Sun1991	mɔ̣ɂ⁵³	Sun1991	mɔ̣ɂ⁵⁵	Sun1991	mạ³⁵	Sun1991
34		211	mhaññɂ			ripe	ŋ̊eŋ³⁵	Sun1991			mjiŋ⁵⁵	Sun1991	mjə̣:ŋ⁵³	Sun1991	mạŋ⁵⁵	Sun1991	mạŋ³⁵	Sun1991
		212	-mhū		m-	matter, affair	-mu³⁵	Sun1991	-mu³⁵	Sun1991	-mu⁵¹	Sun1991	-mo⁵⁵	Sun1991	-mu⁵⁵	Sun1991	-mu³⁵	Sun1991
		213				greasy, oily			ɲaŋ³⁵	Sun1991	ŋjŋ⁵⁵	Sun1991	ŋə:ŋ⁵⁵	Sun1991	ŋạŋ⁵⁵	Sun1991	ŋaŋ³⁵	Sun1991
		214	ṅuṃɂ		ɂṅ	lower (head)	ŋop³⁵	Sun1991	ŋum³⁵	Sun1991	ŋom⁵⁵	Sun1991	ŋu:n⁵⁵	Sun1991	ŋạn⁵⁵	Sun1991	ŋɔ̣n³⁵	Sun1991
		215	rheɂ			in front of	-siɂ³¹	Sun1991	-sai³⁵	Sun1991	xi⁵⁵	Sun1991	ʃə̣k⁵³	Sun1991	xak⁵⁵	Sun1991	xəi³⁵	Sun1991
4	003a	216	la		ɂl-	moon	-lɔ³¹	Sun1991	-l̥ɔ³¹	Sun1991	lọ⁵⁵-	Sun1991	lạ⁵³-	Sun1991	lɔ̣⁵⁵	Sun1991	lɛ̃³⁵-	Sun1991
		217	paiɂ			chip(rim)			pɛ³⁵	Sun1991							pai³⁵	Sun1991
		218	praññɂ-			be full/filled up	pʐəŋ³⁵	Sun1991	pɤŋ³⁵	Sun1991	pjiŋ⁵⁵	Sun1991	pjə:ŋ⁵⁵	Sun1991	pjaŋ⁵⁵	Sun1991	pjaŋ³⁵	Sun1991
		219	coṅɂ			to guard, defend	tɕɔŋ³⁵	Sun1991	coŋ³⁵	Sun1991	tsuŋ⁵⁵	Sun1991	tsu:ŋ⁵⁵	Sun1991	tsauŋ⁵⁵	Sun1991		
	046b	220	-ceɂ			pit, stone	-tsiɂ³¹	Sun1991	-tsi³¹	Sun1991	-tʃi⁵⁵	Sun1991	-tʃei⁵⁵	Sun1991	tʃik⁵⁵	Sun1991	-tʃï³⁵	Sun1991
		221	ka			to dance; jump	kɔ³⁵	Sun1991	kɔ³⁵	Sun1991	ko⁵⁵	Sun1991	kɔ:⁵⁵	Sun1991	kɔ⁵⁵	Sun1991	ka³⁵	Sun1991
8a	283a	222	kya			drop; fall down	kʐua³⁵	Sun1991	kʐɔ³⁵	Sun1991	kjo⁵⁵	Sun1991	kjɔ:⁵⁵	Sun1991	kjɔ⁵⁵	Sun1991	kja³⁵	Sun1991
		223	-khyaṅ			bolt (door)					kjaŋ⁵⁵	Sun1991	kja:ŋ⁵³	Sun1991	kjɔ̣⁵⁵	Sun1991		
		224	ɂu			lay egg	u³⁵	Sun1991	u³⁵	Sun1991								
	252a	225	si			know; recognize	sa³⁵	Sun1991	sa³⁵	Sun1991	se⁵⁵	Sun1991	sɛ̣:⁵³	Sun1991	sɛ⁵⁵	Sun1991	sɛ³⁵	Sun1991
		226	sweɂ			be dry	səɂ³⁵	Sun1991			xui⁵⁵	Sun1991	xə:⁵³	Sun1991	fai⁵⁵	Sun1991	fe³⁵	Sun1991
		227	ha			open (the mouth)	xɔ³⁵	Sun1991	xɔ³⁵	Sun1991	xa⁵⁵	Sun1991	xɔ:⁵³	Sun1991	xɔ⁵⁵ 	Dai1991	xa³⁵	Sun1991
		228	nu			tender, young					nu⁵⁵	Sun1991	nu:⁵⁵	Sun1991	nau⁵⁵	Sun1991	nɔ³⁵	Sun1991
40	013a	229	neɂ			sun/day	niɂ³¹	Sun1991	nai³⁵-	Sun1991	ŋji⁵⁵-	Sun1991	ŋjei⁵⁵-	Sun1991	na⁵⁵	Sun1991	ŋji³⁵-	Sun1991
	087a	230	nuiɂ			milk, breast	nau³⁵-	Sun1991			nau⁵⁵	Sun1991	nou⁵⁵	Sun1991	nuk⁵⁵	Sun1991	nau³⁵	Sun1991
		231				shiver	nan³⁵	Sun1991			nan⁵⁵	Sun1991	na:n⁵⁵	Sun1991	nəŋ⁵⁵	Sun1991	nɛ̃³⁵	Sun1991
		232				shake; rock			nun³⁵	Sun1991	nun⁵⁵-	Sun1991	nu:n⁵⁵	Sun1991	nan⁵⁵	Sun1991	nɔ̣̣n³⁵	Sun1991
		233	ra			get, gain	ʐua³⁵	Sun1991	ʐɔ³⁵	Sun1991	vo⁵⁵	Sun1991	jɔ⁵⁵	Sun1991	ɣɔ⁵⁵	Sun1991	ɣa³⁵	Sun1991
		234	rhu		r-	to watch			ʐu³⁵	Sun1991	vu⁵⁵	Sun1991	jo:⁵⁵	Sun1991	vu⁵⁵	Sun1991	u³⁵	Sun1991
		235	lu			rob, loot	lu³⁵	Sun1991	lu³⁵	Sun1991	lu⁵⁵	Sun1991						
	276a	236	lāḥ		-ɂ	go; return	lɔ⁵⁵	Sun1991	lɔ³⁵	Sun1991	lo⁵⁵	Sun1991	lɔ⁵⁵	Sun1991	lɔ⁵⁵	Sun1991	la³⁵	Sun1991
		237	laṅɂ			wait	luaŋ³⁵	Sun1991	lɔŋ³⁵	Sun1991	laŋ⁵⁵	Sun1991	la:ŋ⁵⁵-	Sun1991	lɔ̃⁵⁵	Sun1991	lɔ̃³⁵-	Sun1991
		238	-pha		p-	male (cock)			-phɔ³¹	Sun1991	-pho⁵⁵	Sun1991	-pho⁵⁵	Sun1991	-phɔ⁵⁵	Sun1991	-pha³⁵	Sun1991
		239				be cloudy	tʂau³⁵	Sun1991	tau³¹	Sun1991	tsau⁵⁵	Sun1991	tsa:u⁵⁵	Sun1991				
		240	kweɂ			bend; turn			xoi³⁵	Sun1991	kọi⁵⁵	Sun1991	kɔi⁵⁵	Sun1991	kɔ̣̣⁵⁵	Sun1991	kụi³⁵	Sun1991
		241	-cuṃ			pair	tɕɔm³⁵	Sun1991	cum³¹	Sun1991	tsum⁵⁵	Sun1991	tsɔm⁵⁵	Sun1991	tsam⁵⁵	Sun1991	tsam³⁵	Sun1991
	098a	242	ɂu			egg	uɂ³⁵	Sun1991	u³¹	Sun1991	-u⁵⁵	Sun1991	ụ⁵³	Sun1991	ạu⁵⁵	Sun1991	ụ⁵⁵	Sun1991
		243	-ma			female suffix	-mɔɂ³⁵	Sun1991	-mɔ³¹	Sun1991	-mo⁵⁵	Sun1991	-mo⁵⁵	Sun1991	mɔ⁵⁵	Sun1991	maɂ³¹	Dai1991
		244	-mhya		my-	approximately	ñeɂ³⁵	Sun1991	n̥ɛ³¹	Sun1991	-mjọ⁵⁵	Xu1984	-mjo⁵⁵	Sun1991	mɔ̣̣⁵⁵	Sun1991		
		245	ñhi			burn grass	ŋ̊eɂ⁵⁵	Sun1991	n̥ɛ³⁵	Sun1991	ŋjẹ⁵⁵	Sun1991	ŋɛ̣̣⁵⁵	Sun1991	ŋạ⁵⁵	Sun1991	ŋjɛ³⁵	Sun1991
		247				pen in (sheep)	l̥ɔŋ³⁵	Sun1991	l̥uŋ³¹	Sun1991	lụŋ⁵⁵	Sun1991					ạuŋ³⁵	Sun1991
		248				turn inside out	phuɂ⁵⁵	Sun1991	phuɂ⁵⁵	Sun1991	phuɂ⁵⁵-	Sun1991	phuk⁵⁵-	Sun1991	phauk⁵⁵	Sun1991	phauɂ⁵⁵	Sun1991
		249	phak-			leaf									phɔɂ⁵⁵	Sun1991		
		250	phyak			pull down; unseam	tʂhuaɂ⁵⁵	Sun1991	tʂhɔɂ⁵⁵	Sun1991	phjoɂ⁵⁵	Sun1991	phjɔ:ɂ⁵⁵	Sun1991	phjoɂ⁵⁵	Sun1991	phjaɂ⁵⁵	Sun1991
		251	pyok			lose; mislay	tʂɔɂ⁵⁵	Sun1991	tʂuɂ⁵⁵	Sun1991	phjuɂ⁵⁵-	Sun1991			-phjauk⁵⁵	Sun1991	-phauɂ⁵⁵	Sun1991
		252	phrat		pry-	snap (thread)	phʐat³⁵	Sun1991	phɛt⁵⁵	Sun1991	phit⁵⁵	Sun1991			phjik⁵⁵	Sun1991	phjɔt⁵⁵	Sun1991
		253	thut			take out; pull out	thut⁵⁵-	Sun1991	thut⁵⁵	Sun1991	-thoɂ⁵⁵	Sun1991			-thuk⁵⁵	Sun1991	-thɔɂ⁵⁵	Sun1991
	384a	254	thak			sharp	thɔɂ⁵⁵	Sun1991			thoɂ⁵⁵	Sun1991	thɔ:ɂ⁵⁵	Sun1991	thɔɂ⁵⁵	Sun1991	thaɂ⁵⁵	Sun1991
		255	thok			lean on; support			thuɂ⁵⁵	Sun1991	thuɂ⁵⁵	Sun1991	thu:k⁵⁵	Sun1991	thauk⁵⁵	Sun1991	thauɂ⁵⁵	Sun1991
		256	thwak			come out	thoɂ⁵⁵-	Sun1991	thoɂ⁵⁵	Sun1991	thoɂ⁵⁵	Sun1991	thuɂ⁵⁵	Sun1991	thuk⁵⁵	Sun1991	thɔɂ⁵⁵	Sun1991
		257	chap			repay	tɕhap⁵⁵	Sun1991			tshap⁵⁵	Sun1991	tsha:p⁵⁵	Sun1991	tshɛɂ⁵⁵	Sun1991		
	075a	258	chat			deer	tɕhet⁵⁵	Sun1991	thɛt⁵⁵	Sun1991	tshat⁵⁵	Sun1991	tshat⁵⁵	Sun1991	tshɛt⁵⁵	Sun1991	tʃhɛt³¹	Sun1991
		259	chak			connect, join					tshoɂ⁵⁵	Sun1991	tshɔ:ɂ⁵⁵	Sun1991	tshɔɂ⁵⁵	Sun1991	tshaɂ³¹	Sun1991
		260	chut			tear up, rip	tsheɂ⁵⁵	Sun1991	tshiɂ⁵⁵	Sun1991	tʃheɂ⁵⁵	Sun1991	tʃhɛ:ɂ⁵⁵	Sun1991	tʃhat⁵⁵	Sun1991	tʃhak⁵⁵	Sun1991
		261	chok			chisel							tʃhɔɂ⁵⁵-	Sun1991	tʃhɔɂ⁵⁵-	Sun1991	tʃhaɂ⁵⁵	Sun1991
		262	-kup			pigsty, cowshed					-khup⁵⁵	Sun1991	-khɔm³³	Sun1991	-khap⁵⁵	Sun1991	-khap⁵⁵	Sun1991
	140a	263	khyak			navel			tɕhɔɂ⁵⁵	Sun1991	tʃhoɂ⁵⁵	Sun1991	tʃhɔɂ⁵⁵	Sun1991	tʃhɔɂ⁵⁵	Sun1991	tʃhaɂ⁵⁵	Sun1991
		264		khyut		dusk, twilight	-tɕhot³⁵	Sun1991	-chot⁵⁵	Sun1991			tʃhɔɂ⁵⁵-	Sun1991	tʃhaɂ⁵⁵-	Sun1991		
		265		khlyap		round object (clf.)					khjap⁵⁵	Sun1991	khjap⁵⁵	Sun1991	khjɛɂ⁵⁵	Sun1991	khjɛɂ⁵⁵	Sun1991
	200a	266		khlup		sew	xʐoɂ⁵⁵	Sun1991	chup⁵⁵	Sun1991	khjup⁵⁵	Sun1991	khju:p⁵⁵	Sun1991	khjap⁵⁵	Sun1991	khjap⁵⁵	Sun1991
	327a	267	khrok			six	xʐoɂ⁵⁵	Sun1991	chuɂ⁵⁵	Sun1991	khjuɂ⁵⁵	Sun1991	khjuk⁵⁵	Sun1991	khjauk⁵⁵	Sun1991	khjauɂ⁵⁵	Sun1991
		268	khwak			bowl	-xoɂ⁵⁵	Sun1991	xoɂ⁵⁵	Sun1991	khoɂ⁵⁵	Sun1991	khuɂ⁵⁵	Sun1991	khuk⁵⁵	Sun1991	khɔɂ⁵⁵	Sun1991
		269		khlwat		take off	kʐek⁵⁵	Sun1991	khɯk⁵⁵	Sun1991	khjut⁵⁵	Sun1991	khju:t⁵⁵	Sun1991	khjɛt⁵⁵	Sun1991	khjɔt⁵⁵	Sun1991
	290b	270	sut			wipe; erase	sut⁵⁵	Sun1991	sut⁵⁵	Sun1991	sut⁵⁵	Sun1991	su:t⁵⁵	Sun1991			sɔt⁵⁵	Sun1991
		271	-sak			air; breath; steam	-sɔɂ⁵⁵	Sun1991	sɔɂ⁵⁵	Sun1991	soɂ⁵⁵	Sun1991	sɔɂ⁵⁵	Sun1991	soɂ⁵⁵	Sun1991	saɂ⁵⁵	Sun1991
	232a	272	sok			to drink	ʂɔɂ⁵⁵	Sun1991	ʂuɂ⁵⁵	Sun1991	ʃuɂ⁵⁵	Sun1991	ʃu:k⁵⁵	Sun1991	ʃauk⁵⁵	Sun1991	ʃauɂ⁵⁵	Sun1991
		273	tap			to stick down			tap⁵⁵	Sun1991	tap²¹	Sun1991	tạ:p⁵⁵	Sun1991	-tɛ̣̣ɂ⁵⁵	Sun1991	tɛɂ³¹	Sun1991
		274				to paste, stick	thap⁵⁵	Sun1991	thap⁵⁵	Sun1991	tap⁵⁵	Sun1991	tạ:p⁵⁵	Sun1991	tɛ̣̣ɂ⁵⁵	Sun1991	tɛ̣̣ɂ⁵⁵	Sun1991
	142a	275	chut			lungs	-tɕhot⁵⁵	Sun1991	-chut⁵⁵	Sun1991	tsụt⁵⁵	Sun1991	tsɔ̣t⁵⁵	Sun1991	tsạt⁵⁵	Sun1991	tsɔ̣t⁵⁵	Sun1991
		276	cwap			ring			-tʂɔp⁵⁵	Sun1991	-tʃọ̣p⁵⁵	Sun1991	-tʃɔ̣̣ɂ⁵⁵	Sun1991	-tʃɔɂ⁵⁵	Sun1991		
