CONCEPTICON	GLOSS	TBL	MANN	STB	Burmese	Old Burmese	Note
1618	the grandson	224		grandson[193]	m r e ḥ	m l i y ḥ	
139	the gums	138	gums[134]		s v ā ḥ ◦ ph u ṃ ḥ		
816	the half	832	half[338]		t a c ◦ v a k		~ a cup, ~ a hour
816	the half	832	half[338]		t a c ◦ k r a m ḥ		~ a mango
816	the half	832	half[338]		kh v ai		~ five o'clock
620	the insect	353	insect[107]	insect[199]	p ui ḥ	p ui v ḥ	
1991	the intestines	149	intestines[144]		ʔ ū		
489	the kidney	146		kidney>>[199]	k y o k ◦ k a p		
206	the ladle	551	ladle[206]		mh u t		water ~
206	the ladle	551	ladle[206]		y o k ◦ kh y ui		soup ~
2250	the leaf	376		leaf (of tree, cf. 402)%[201]	r v a k		
2273	the leech	364		leech[201]	k y v a t		
2273	the leech	364		leech[201]	mh y o ʔ		
1297	the leg	103	leg=foot (157)[152]	leg[201]	kh r e ◦ th o k	kh r i y	
1554	the man	173	man[169]	man[205]	y o k	y o₂ k	
1372	the medicine	456	medicine[265]	medicine[206]	ch e ḥ	ch i y ḥ	
635	the milk	95	milk[87]	milk[206]	n ui ʔ	n ui v ʔ	
1350	the monkey	308	monkey[76]	monkey[206]	m y o k	m y o₂ k	
224	the mortar	627	mortar[207]		ch u ṃ	ch u ṃ	
641	the mushroom	437	mushroom[50]	mushroom[208]	mh ui	mh ui v	
1838	the navel	97	navel[140]	navel[209]	kh y a k		
388	the net	624		net[210]	k v a n		
1598	the north	707	north[21]		m r o k		
2364	the peanut	434	peanut[63]		m r e ◦ p a i		
225	the pestle	628	pestle[208]	pestle[213]	k y a ññ ◦ p v e ʔ		
1740	the pine	385		pine[214]	th a ṅ ḥ ◦  rh ū ḥ		
655	the poison	641		poison[215]	ʔ a ◦  ch i p		
	be toxic				t o k	t o₂ k	
1808	the pus	159	pus[166]		p r a ññ		
1136	the rabbit	292	*rabbit[78]		y u n		
801	the rib	135	rib[160]		n a ṃ ◦ r ui ḥ		
769	the roof	495	roof[189]	roof[218]	ʔ a ◦ mu i ḥ		~ of a house, same word as 'sky'
1503	the saliva	156	saliva[132]	saliva*[227]	s v ā ◦ r a ññ		tooth-juice
1388	the shadow	698	shadow[11]	shadow[221]	ʔ a ◦ r i p		
759	the silver	52	silver[33]	silver[223]	ṅ v e	ṅ u y	
1543	the snail	371	snail[113]		kh a ◦  r u		
208	the snot	157		snot[225]	nh a ◦ r a ññ		nose-juice
208	the snot	157		snot[225]	nh a p ◦ kh y e ḥ	nh a p	
1056	the son-in-law	223	son-in-law[175]	son-in-law[226]	s a ◦ m a k	s a ◦ m a k	
1096	the song	656		song[226]	s ī ◦ kh y a ṅ ḥ		
1595	the south	705	south[22]		t o ṅ	t o₂ ṅ	
819	the stomach	148		stomach>>[228]	ʔ a ◦ cā ◦ ʔ i m		food-house
1342	the summer	792		 	n v e ◦  r ā ◦ s ī		
21	the taste (something)	1182		taste[230]	ʔ a ◦ ra ◦ s ā		
124	the thorn	391	thorn[41]	thorn[232]	ch ū ḥ	ch ū ḥ	
1161	the thread	461		thread[232]	ʔ a ◦ mh y a ṅ		
1142	the urine	152	urine[168]		ch ī ḥ	ch ī ḥ	
921	the valley	25		valley[234]	t o ṅ  ◦ k r ā ḥ		
921	the valley	25		valley[234]	kh y ui ṅ ʔ ◦ vh a m ḥ		
947	stream				kh y o ṅ ḥ	kh l o₂ ṅ ḥ	
930	the village	66	village[183]	village[234]	r v ā		
933	the wall	510	wall of house[191]	wall[235]	n a ṃ ◦ r a ṃ		
1817	the west	706	west[20]		ʔ a ◦  n o k	ʔ a ◦  n o₂ k	
1756	the widow	251	widow[178]		m u ◦ ch ui ḥ ◦ m a		
1471	the winter	794		winter[238]	ch o ṅ ḥ	ch o₂ ṅ ḥ	
2306	thin (object)	967		thin [object][231]	p ā ḥ	p ā ḥ	
847	thirsty	1478	thirsty[231]	thirsty[231]			
1757	tired	1495	tired[393]		m au		
1419	to be afraid	1366	afraid[259]	fear, to[187]	r v a ṃ ʔ		quail
1419	to be afraid	1366	afraid[259]	fear, to[187]	k r o k		
2245	to belch	1245		belch[171]	k r ui ʔ ◦ th ui ḥ		
1407	to breathe	20	breathe[239]	breathe[176]	rh ū		
2102	to burn	1269	burn[308]		m ī ḥ ◦ l o ṅ	l o₂ ṅ	fire-burn (you can also have e.g. ne◦loṅ sun-burn) 
702	to catch	1813		catch[177]	ph a m ḥ		
