NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	above	1741	ABOVE	2
2	alive	1422	BE ALIVE	2
#<<<				
3	animal (classifier)	619	ANIMAL	4
3	animal (classifier)	2096	ANIMAL OR MEAT	4
#>>>				
4	answer-1		???	
5	answer-2		???	
6	ant	587	ANT	2
7	ant (flying)	587	ANT	4
8	antelope		???	
9	anvil	1648	ANVIL	2
10	arrow	977	ARROW	2
11	ascend	705	GO UP (ASCEND)	2
12	ashamed	1894	ASHAMED	2
13	ashes	646	ASH	2
14	ask for	1828	ASK (REQUEST)	2
#<<<				
15	ask, question	1309	ASK (INQUIRE)	4
15	ask, question	1828	ASK (REQUEST)	4
#>>>				
16	attach		???	
17	aunt	1272	AUNT	2
18	awake	825	AWAKE	2
19	awaken	825	AWAKE	2
20	bamboo	1927	BAMBOO	2
21	bamboo shoots	2494	BAMBOO SHOOT	4
22	bamboo ties		???	
23	banyan	346	BANYAN	2
#<<<				
24	bark (cf. tree)	1204	BARK	4
24	bark (cf. tree)	1206	BARKING	4
24	bark (cf. tree)	2127	BARK OR SKIN	4
#>>>				
25	beads	1860	BEAD	4
26	beans	832	BEAN	2
27	bear	1820	BEAR	2
28	bee	665	BEE	2
29	behind	1686	BEHIND	2
#<<<				
30	below	1485	BELOW OR UNDER	2
30	below	2094	DOWN OR BELOW	2
#>>>				
31	bet		???	
32	between	689	BETWEEN	2
33	big	1202	BIG	2
34	bird	937	BIRD	2
35	bitter	887	BITTER	2
36	black	163	BLACK	2
37	blood	946	BLOOD	2
#<<<				
38	blow (with mouth)	175	BLOW (OF WIND)	4
38	blow (with mouth)	176	BLOW (WITH MOUTH)	4
#>>>				
39	blunt	379	BLUNT	2
40	boat	1844	BOAT	2
41	boil	2493	BOIL	2
42	bone	1394	BONE	2
43	born	1090	BE BORN	2
44	borrow-1		???	
45	borrow-2		???	
46	brains	1583	BRAIN	2
47	branch	1531	BRANCH	2
48	brave	3	BRAVE	2
49	break	680	BREAK (DESTROY OR GET DESTROYED)	2
#<<<				
50	breast	1402	BREAST	2
50	breast	1592	CHEST	2
#>>>				
51	breathe	1407	BREATHE	2
52	bridge	1011	BRIDGE	2
53	buffalo (water)	934	BUFFALO	4
54	build	1840	BUILD	2
55	buy	1869	BUY	2
56	call	1084	CALL	2
57	carry on back	465	CARRY ON BACK	2
58	carry on shoulder	413	CARRY ON SHOULDER	4
59	cat	1208	CAT	2
#<<<				
60	cattle (cow)	1153	CATTLE	4
60	cattle (cow)	631	LIVESTOCK	4
#>>>				
61	chaff	2363	CHAFF (HUSK)	4
62	change	1264	CHANGE	2
63	chest (body part)	1592	CHEST	2
#<<<				
64	child, young	2099	CHILD	4
64	child, young	1304	CHILD (YOUNG HUMAN)	4
64	child, young	1207	YOUNG	4
64	child, young	1801	CHILD (DESCENDANT)	4
64	child, young	2391	BOY OR SON	4
64	child, young	564	YOUNG (OF MAN)	4
64	child, young	563	YOUNG (OF WOMAN)	4
#>>>				
65	chili	919	CHILI PEPPER	2
66	chin	1510	CHIN	2
#<<<				
67	city	1391	TOWN	4
67	city	2547	CITY	4
#>>>				
68	clench fist		???	
69	cloth	1616	CLOTH	2
#<<<				
70	cold (personally)	1287	COLD	4
70	cold (personally)	2483	COLD (OF WEATHER)	4
70	cold (personally)	102	COMMON COLD (DISEASE)	4
#>>>				
71	come	1446	COME	2
72	come out-1 (emerge)		???	
73	come out-2		???	
74	copper	1825	COPPER	4
75	copulate	549	COPULATE	2
76	cough	879	COUGH	2
77	creeper		???	
78	crooked	297	CROOKED	2
79	cross (as water) (verb)	1367	CROSS	4
80	crossbow-1		???	
81	crossbow-2		???	
#<<<				
82	cry (sob)	1839	CRY	4
82	cry (sob)	715	SHOUT	4
#>>>				
83	cubit		???	
84	cucumber	496	CUCUMBER	2
85	cup	476	CUP	2
86	dam		???	
87	dance	1879	DANCE	2
#<<<				
88	day (24 hours)	1225	DAY (NOT NIGHT)	4
88	day (24 hours)	1283	TODAY	4
88	day (24 hours)	1260	DAY (24 HOURS)	4
88	day (24 hours)	2140	DAY OR SUN	4
#>>>				
89	deaf	996	DEAF	2
#<<<				
90	deer (sambhur)	1936	DEER	4
90	deer (sambhur)	2456	LARGE WILD HERBIVORE	4
#>>>				
#<<<				
91	deer (barking)	1936	DEER	4
91	deer (barking)	2456	LARGE WILD HERBIVORE	4
#>>>				
92	destroy	681	DESTROY	2
93	die	1494	DIE	2
94	difficult	584	DIFFICULT	2
95	dig	1418	DIG	2
96	disappear (lost)	485	DISAPPEAR	4
97	dog	2009	DOG	2
98	dove	1853	DOVE	2
99	draw water	1911	DRAW (WATER)	2
#<<<				
100	dream (cf. sleep)	1920	DREAM (SOMETHING)	4
100	dream (cf. sleep)	2374	DREAM	4
100	dream (cf. sleep)	2455	DREAMING OR DREAM	4
#>>>				
101	drink-1		???	
102	drink-2		???	
103	drum	908	DRUM	2
104	drunk (intoxicated)	1463	DRUNK	4
105	dry	1398	DRY	2
106	dry up	1786	DRY UP	2
107	dung-1		???	
108	dung-2		???	
109	dusk (cf. sky)	2297	DUSK	4
110	dwell	363	DWELL (LIVE, RESIDE)	2
111	dye (vb.)	157	DYE	2
112	ear-1		???	
113	ear-2	1247	EAR	4
114	earth-1		???	
115	earth-2		???	
116	easy-1		???	
117	easy-2		???	
118	eat	1336	EAT	2
#<<<				
119	egg (cf. fowl)	744	EGG	4
119	egg (cf. fowl)	714	SEED	4
#>>>				
120	eight-1		???	
121	eight-2		???	
122	elephant	1290	ELEPHANT	2
123	embrace	928	EMBRACE	2
124	empty	1624	EMPTY	2
125	enclose		???	
#<<<				
126	endure	1186	LAST (ENDURE)	4
126	endure	833	ENDURE	4
#>>>				
127	enough	1881	ENOUGH	2
128	enter	749	ENTER	2
129	eye	1248	EYE	2
130	fall	1280	FALL	2
131	far	1406	FAR	2
#<<<				
