Button_number	Mann_number	Nishi_Number	Mann_meaning	Achang	Zaiwa	Lashi	Maru	Bela	Phon
	230a		full, satisfied		gi³¹	gi³	kʰi⁵⁴		
	231a		thirsty	ʃɛt⁵³	ʃɪt⁵	ʃiɂ³¹	ʃap⁵³		
	232a	272	drink	ʃok⁵²	ʃuɂ⁵	ʃioɂ³¹	ʃaut⁵³	ʃau²³	ʃoɂ³¹
	233a	348	be drunk	jɛt³¹		jeɂ³	ʒit³⁵		ze³¹
	234a		vomit	duk⁴²		dok³	daut⁴²		
	235a		spit		be³²	bi⁴⁵			
	235b		spit	djɛ⁵		pjạɂ⁵³	pʰö⁵		
	236a	113	cough		kʰɹuŋ³	kʰjoŋ⁵	kʰjæuŋ³		xɔŋ³¹
	236b	123	cough	tsạụ⁵	dzau³²	dzau⁵³	dzọɂ⁵⁴		sʰo³¹
	237a		sneeze	dʒei³		dʒe⁴³			
	237c		sneeze		tʃʰɪ³²		tʃʰɔ³		
	238a		yawn	ham⁵	ham²¹	ham⁴	he⁴		
27	239a	292	breathe	sɔɂ⁵³	sɔɂ⁵⁴	sɔɂ⁵³	sɔɂ⁵⁴		
	239b		breathe	ʃɛt³¹	ʃe³¹	ʃɛ³¹	ʃɛ³¹		ʃet
	240b		whistle		nʊ̣t⁵		nạịt⁵⁴		
16	241a		suck	dʒɔ̣p⁵³	tʃʰup⁴³	dʒuɛp⁴²	dʒạp⁵⁴		saɂ³¹
	242a		lick	djɔɂ³¹	jɔɂ³²	jɔ̣ɂ³²	jɔɂ³²		
	244a		laugh	ji³¹	βʷi³	jị³¹	ɣi²	ɣị²³	ɹiɂ⁵⁵
	245a		speak	tạịɂ⁵³	daŋ⁴³	daŋ²		tị²³	
	245b		speak				dʒau²		
	246a		tell	tạị⁵³	tạị⁵³	deɂ³¹	da⁴³		
	246b		tell	gjɔ⁵		gjɔ³	gjɔ³²		
	247a		shout	kạịɂ⁵³	gə³		geɂ⁴²		
	247b		shout				hok⁵⁴		
	248a		answer		tạụ³¹	duɛm³²	duk⁵		tʰu³¹
	248b		answer			deɂ³²	da⁴³		
	248c		answer	pʰuk⁵³					
	249a		lie, fib		mạụ⁵²	mauɂ³¹	mọk⁵⁴		
	250a		sing	tʃʰuŋ⁵			tʃʰæuŋ⁴³		
	250b		sing		-⁵⁴	kʰoi⁴³		kjẹɂ³	
	251a		think	ŋạm⁵³	mɪt³	mje³²	mit³		
	252a	225	know	sɛɂ⁵³	se⁵³	sɛɂ⁵²		sjɛ²³	ʃi
	253a		forget	tɔ̣⁴⁵	tɔ̣⁵⁴	dɔ³⁴	tọɂ⁵		
	253b		forget	njẹk⁵²	mị⁵³	mjɛ̣ɂ⁵²	mịt⁵⁴		
	254a		choose	kʰjɛn³	kʰɪn⁴²	kʰje⁴³	kʰɪn⁴³		
	254b		choose			ju³¹	ju³		
	255a	282	love	dʒɛt⁵⁴			dʒit⁵		
	255b		love	dap³¹			de³²		
	256a		hate		ɂa²	ɂa²			
	257a		wait	laŋ⁵	laŋ³⁴	laŋ³	la²⁵		
	257b		wait				na⁵²		
	258a		count	suan³		soe³			
	258b		count		ŋạp⁵⁴		ŋịɂ⁵	ŋwɛ̣ɂ	
	259a	328	afraid	gjuk⁴²	gjuɂ³²	gjok³²	gjæuɂ⁴³		
	260a		angry	nạị⁵³	nɪk⁵	nək³²	nạk⁵⁴	nạk⁵²	
	260b		angry	jɔ̣³²	jɔ⁵¹	jɔ²¹	jo³⁵	ja⁵²	
	261a	287	sleep	jɛ̣t⁵³	jụp⁵	jøp⁴²	jạp⁵	jạp³	ɂaiɂ³¹
	262a		snore	nọ³		njɔ̃³¹	mjaŋ³		
	262b		snore	kʰuŋ³	kʰɔk³²				
83	263a	333	dream	mɔɂ³¹	mɔɂ⁵²	mɔɂ²¹	moɂ³²	ma⁵²	mʊɂ³¹
25	264a	56	painful	nɔ³¹	nɔ³¹	no²³	no²³		naɂ⁵⁵
	265a		medicine	mɛ³		mə³	mə²	mạ³	
	265b	100	medicine	tʃʰei⁵	tʃʰi³¹	tʃʰe⁵	tʃʰit⁵⁴	tʃʰə²³	ʃiɂ³¹
95	266a	196	to itch	jɔ³	jɔ⁵³	jɔ³²			ja³¹
	267a		scratch	kjɛ̣n³	gin³¹	gjẽŋ³²	gɪn⁴¹		
	268a		shiver	nan³¹	nạn³	nãɪ⁴	nɪn⁵⁴	ne²³	
86	269a	28	die	ʃei³	ʃi⁴³	ʃe³²	ʃit⁵⁴		ʃiɂ⁵⁵
	270a		ghost	si³	ʃə⁴	sə³	səp²		
	270b		ghost	djɔ³¹	bjɔ⁵¹	bju³¹	bjɔ³¹	jui³	
	271a		sit	dzọŋ³	dzuŋ³¹	dzoŋ²	dzauŋ³	tsāŋ³	
	272a	351	stand	jap³¹	jạp³¹		jeɂ³		ɹeɂ⁵⁵
	273a		kneel	tʰuk⁵³	tʰuɂ⁴³	tʰoɂ⁵³	tʰauk⁵⁴		
	274a		walk	su⁵	sɔ⁵²	sɔ⁴	su⁵	tsọ²³	
	275a		crawl	du³	dɔ³²	dɔ²	du⁴²	tạụ⁵²	
	276a	236	go; return	lɔ³¹	le⁴³	lɔ³¹	lo³		ɹʊɂ
	277a	83	enter	waŋ³¹		waŋ³¹	wa³²		vɹo⁵⁵
	278a		return		dau	døm³¹	dam³		
	278b		return	tạụ⁵			tọk⁵⁴		
	279a	159	push	duan³	dʒụn⁵	duen³	dum⁵⁴	tsạn²³	
	280a		pull	laŋ³	laŋ⁵³	laŋ²		lõ⁵²	
	281a		kick	tʰəɂ⁵³		tʰɨɂ⁴²	tʰauŋ⁴		
	282a		throw	dɨu⁴³	dun⁵³				
	282b		throw			pjæ̣p⁵³	pjẹɂ⁵⁴		
8a	283a	222	fall	gjɔ⁴³		gjɔ⁴	gjo⁵	kja²³	
	284a		swim				kʰeɂ⁵⁴		
	285a		float			mjũ³	mjuŋ⁵⁴		
	286a		sink	njɔp⁴¹	mjup³⁴	mjok³²	nap⁴	nap⁵²	
	286b		sink		waŋ³¹		wa⁵⁴		
	287a		flow	jau³¹	ɂʊ̣t⁵	jau³¹	jọk⁵		
	287b		flow		mjui²¹	njɛ²¹	na⁴³		
	288a	150	give	dje³	bi⁵³	bje³	pjit⁵⁴		pe³¹
	289a		tie	dụị⁵	dui⁵³	dɨ⁵⁴	döi⁵		
	290a		wipe	bua³¹		boeɂ³			
	290b	270	wipe		sʊt⁵⁴		sat⁵⁴		ʃwaiɂ³¹
	291a		rub, scrub	tsʰaɂ⁴¹		dʒoiɂ⁵			
	292a		wash	tʃʰei⁵	tʃʰi⁵³	tʃʰe⁴³	tʃʰit⁵⁴	tʃʰə²³	ʃe³¹
	294a		bathe	guŋ⁴³	guŋ³	goŋ³¹	gauŋ³¹		
	295a		hit	bat³¹			bẹtɂ⁵⁴		
	295b		hit			jøk³			
	295c		hit		tʰui⁵³				
	296a		split	kʰjam⁵⁴	kʰɔɂ⁵	kʰɔɂ⁵²	kʰoɂ⁵⁴		
	297a		cut (hair)	tsʰam³				xam³	
	297b		cut (hair)			njæ̃m⁵⁴	mjæụk⁵³		
	298a	94	stab	tʰau⁵	tʰau⁵²	tʰau⁴	tʰoɂ⁵		
	299a		grind			lə̣ŋ³²		lui²³	
	300a		plant			dzoŋ⁴	dzạụɂ⁵³		
	300b		plant	xjɔ⁵	hɔ⁵³				
	301a		dig	du³	du⁵³	du³	daut⁴		tu³¹
	302a		burnt (corpse)	njɔ̣p⁵²	mjụp⁵⁴	njøp⁵³	njạp⁵	njæ̣p⁵²	mjaɂ³¹
	303a		winnow (rice)		pjạŋ⁵³		ja⁴		
	303b		winnow (rice)	lạŋk⁴²					
	304a		to dry	lạp⁴²	lạp⁵⁴	læ̣p³²	lẹɂ⁵⁴		
	305a	96	pound(rice)	tʰuŋ⁵	tʰuŋ⁵³	tʰoŋ⁴	tʰaun⁵		tʰɔŋ³¹
	306a		cook (rice)	dʒauɂ³¹	dzaŋ³	dʒaụɂ⁵³	dzɔ³²	tsạɂ⁵²	
	307a		boil	tsụɂ⁵²	dʒɔɂ⁵⁴	dzu³²	dzạụ⁴		
	308a		burn	ŋæ̣ɂ³¹	njɛ̣⁵³	ŋe⁴	ŋa⁴⁵		
	309a		extinguish		sat⁵⁴	sai⁵²	seɂ⁵⁴		
	309b		extinguish		mi³		mi⁴		
	310a		work	mu⁵	mu⁵	mɔ⁵	mau²⁵		
	310b		work	dzui³	dzui⁵³	dzɨ²¹	dzöi⁵		
	311a		play	lɨ̣ụ³		lu³²		li²³	
	312a		dance	gɔ⁵	gɔ³	gɔ⁴	go³⁴		ga³¹
	313a	309	shoot	baiɂ³¹		bək²	bak³²		
	314a		hunt	ʃo⁵	ʃɔ³	ʃo⁵	ʃɪ⁵⁴	su⁵²	cʰo
	314b		hunt	kʰat⁵²	kʰat⁵⁴	kʰạiɂ⁵¹			
26	315a	290	kill	sat⁵²	sat⁵	sạiɂ⁴²	sẹɂ⁵⁴	sẹɂ⁵²	ʃiɂ⁵⁵
	315b		kill				pjẹ⁵⁴		
	316a		fight		bjɔɂ³	pjæ̣p³¹		pẹɂ²³	
	317a		but	wi³¹	βʷi³	ɣɨ³¹	wai³	ve³	wiɂ⁵⁵
	318a	145	sell	ɂuŋ⁵	ɂụŋ⁵³	ɂõŋ⁵⁴	ɂaun⁴	ɂaŋ³	ɹɔŋ³¹
	319a		exchange	tʰaiɂ³¹	tʰai⁵⁴	tʰe⁵³	tʰa⁴³		
	319b		exchange		lum⁵³				
	320a		pay			tʃʰiɛ²	tʃʰi⁴		
	320b		pay	djei³	bi⁵³		bịɂ⁵⁴		
38	321a	106	steal	kʰau⁵	kʰau⁵²	kʰau³	kʰoɂ⁵⁴		kʰo³¹
	322a		one(person)	dai³		dai³	de³	ta⁵²	toɂ³¹
	322b		one(person)	juk³²	juɂ³¹	jok³²	jæuɂ⁴²		
	323a		two(ppl)	ɂai⁵³	ɂi⁴⁵	ɂək⁵³		jị²³	haiɂ³¹
	324a	130	three(ppl)	sɔm⁵³	sum³²	sɛm³	sam⁴²	sam³	ʃaŋ³¹
	325a		four(ppl)	njei³	mi³²	mje⁴		mi⁵²	ɲi³¹
	326a	188	five(ppl)	ŋ³	ŋɔ³²	m³	ŋɔ³⁵	ŋa⁵²	
	327a	267	six(ppl)	kʰjuk⁵³	kʰjuɂ⁵³	kʰjok⁵³	kʰjæuk⁵⁴	kʰjaup⁵²	kɔŋ⁵⁵
	328a	297	seven(ppl)	njɛ̣⁵³	njɪ̣t⁵	njẽɂ⁵³	nạịɂ⁵⁴	nạụt⁵²	
	329a	300	eight(ppl)	xjɛ⁵³	ʃɪ̣t⁵	ʃet⁵³	ʃöɂ⁵	ʃɛt⁵²	ʃiɂ³¹
	329b		eight(ppl)						jɔŋ⁵⁵
	330a	167	nine(ppl)	gau³⁴	gau³²	gau³	gok⁴³	kau⁵²	
	331a	8	ten(ppl)	tsʰi³	tsʰe⁵³	tsʰe³	tsʰe⁵³	tʰai³	cʰwat⁵⁵
	332a	32	hundred(ppl)	xjɔ³	ʃɔ⁵³	ʃo⁴²			jaɂ⁵⁵
	333a		thousand(ppl)		hiŋ⁴⁵				heŋ⁵⁵
	333b		thousand(ppl)	kʰjɨŋ⁵⁴		kʰəŋ⁵³	kʰiŋ⁵⁴		
	334a	178	many(ppl)	njɔ³⁵	mjɔ³	mjõ³⁵	mjɔ⁴⁵	mja⁵²	
	334b		many(ppl)	ʃɔ³⁵		ʃɔɂ⁵³			
	335a		all	ŋan⁵		ŋãɪ²⁴			
	336a		some	jam⁵	ɂạm³¹	jæ̣m⁴			
	337a		few	mạụ⁵			mo³²		
	337b		few		dʒɪ̣t⁵	dʒit⁵			
	337c		few						ne³¹
	338a		half	gɔ⁵		gɔ³	gauŋ³		
	338b		half	ji⁵	βʷi⁴	ji³	ɣi³⁵		
	339a	165	big	gu⁵⁴	kɔ̣⁵³	ge³	ɣi³⁵	kọ²³	cʰi³¹
	340a		small	ŋi³¹		ŋe³¹	ŋai²³	ŋai³	ŋji⁵⁵
	341a	34	long	xjeŋ³	hɯŋ⁴³	ʃjəŋ⁴³	xaŋ³	xaŋ²³	xraiŋ⁵⁵
	342a		short (length)		dɔt⁵⁴				
	342b		short (length)	djuŋ³		ləŋ⁴	laŋ³⁴	laŋ²³	
	343a		tall	njạŋ³	mjạŋ³¹	mjãŋ³²	mjạ³	mjụ̃³	
	344a		short (height)	njæ̣n⁴¹	jụm⁴³	njũɛ̃m³²	mjạm⁵	njạp⁵²	
	345a	4	thick	tʰɨu³	tʰu⁴³	tʰu³²	tʰau³		tʰuɂ⁵⁵
94	346a	116	thin	bu³		bo³	bo³		pa³¹
	347a	7	fat	tsʰɨu³	tsʰu⁴³	tsʰu³²	tsʰau³²		
	348a		skinny	gji⁵	gi⁴³	gi⁴			
	349a		wide, broad	lam³¹	lam³²	læ̣m³¹	le²	lẽ²³	
	350a		narrow	dzə³¹	dʒap⁵⁴	dʒæp⁵³		tsẹɂ⁵²	ʃaŋ⁵⁵
	351a		deep	nɔɂ³²	nɪk³²	nɔ̃ɂ³	noɂ⁴³		nʊɂ³¹
	352a		shallow	bu³¹		bɔ⁴			
54	353a	195	spherical	lai⁵	liŋ³²	ləŋ⁴		laŋ²³	laŋ³¹
	354a		full	djeŋ⁵	biŋ³⁴	bjəŋ⁴	bjaŋ³⁴		pjaiŋ³¹
	355a		right side	lɔɂ⁴³	lɔɂ³	lɔ̣ɂ³	loɂ³		lʊɂ³¹
	355b	86	right side	jɔ⁴²	jɔ³¹	ju⁴²	jo³²		
	356a		left side			goŋ⁵	kauŋ³		
	356b		left side	wi³⁴					
	357a		straight	dan³	diŋ⁴	dain³	dɪn⁴		
	358a	199	far	wɛ³	ve⁵³	we²	wa³⁴	ve⁵²	we³¹
	359a		near		dʒạŋ⁵³	dʒaŋk⁵³	dʒa³⁴	tsõ²³	
98	359b		near	ni³					ne³¹
	360a		this	hai³		hɛ³			haiŋ⁵⁵
	360b		this		ʃi⁵³	dzi⁵¹	tʃʰe⁴¹	tʃʰẹ³	
	361a		that	hau³	he⁵³	hau³	ɂai³¹		hʊn⁵⁵
	362a	344	black	nɔɂ³¹	nɔɂ³	nɔ̃ɂ³	noɂ²¹	naɂ⁵²	nuɂ³¹
	363a	3	white	tʰjɨu³	pʰju³²	pʰju⁴³	pʰju³	pʰju³	pʰjuɂ⁵⁵
	364a	59	red	nɛ³¹	ne³²	ne³¹	ne³	nẽ³	nɛ³¹
	365a	63	green	njæu³¹	njui³²	njau³¹	njọɂ⁴²	njụŋ³	
	366a		yellow			bɔ⁴	bo³⁵	pa²³	
	367a		dirty	tʃʰɔɂ⁵⁴	tʃʰa⁵	tʃʰɔɂ⁵³			
	367b		dirty	lauɂ³¹			lạk⁵³	lu²³	
	368a		new	ɂa³	ɂə³	ɂa³	ɂa²		
	368b	291	new	saik⁵⁴	sɪk⁵⁴	sək⁵³	sak⁵		
	369a		old	tsʰau⁵		tsʰau³	tsʰoɂ⁵⁴		
	370a		dark	tʃʰuat⁵⁴	tʃʰut⁵⁴	tʃʰoiɂ⁵³			
	370b		dark		ma³²	mau²			
	370c		dark				noɂ³⁴		ɲo⁵⁵
	371a		bright	baŋ³¹	bɔ³	baŋ³¹	bo³⁴		
	372a		same	de³	tsụŋ⁵³	du³¹	dau³		
	373a		different			gə⁵	gə²		
	374a	14	sweet	tʃʰau³	tʃʰui⁵³	tʃʰau³¹	tʃʰok⁵⁴		ʃwa⁵⁵
	375a	15	sour	dʒjɛn³	dʒɪn³¹	dʒeŋ³²	dʒɪn³²		ʃei⁵⁵
1	376a	105	bitter	kʰɔ⁵	kʰɔ⁵³	kʰɔ⁴	kʰo⁵	kʰa²³	kʰa³¹
	377a		spicy		pʰjɪk⁵	pʰjək⁵³	jak³		
	378a	307	rotten	buɔp³¹	bʊp³	buɛp²	bap³⁴		
	379a		swell	jam³		jæ̣m³			
	380a		dry	kjụk⁵⁴	kjụɂ⁵⁴	kjọɂ⁵³	kjạụɂ⁵³		xoɂ³¹
	381a		wet	dʒuɛɂ⁵²		dʒøm³²	dʒo⁵		
	382a		hot	ŋɛ⁵	njɛ³²				
	382b		hot			loŋ⁵¹	lauŋ³		
	383a		cold				gjoɂ³²		
	383b		cold	dʒam³		dʒæm⁵⁴			
	384a	254	sharp	dzuɂ³¹	tʰɔɂ⁵⁴	tʰɔɂ⁵²	tʰoɂ⁵⁴		tuɂ³¹
	385a		blunt	duam³					
	386a	192	heavy		lai⁵³	le³²	la⁵		
	387a		hard	tʰan³	tʰan³²	tʰãɪ²			
	388a		smooth	dʒụạt⁵⁴		dʒueɂ⁵³			
	388b		smooth		ɹa³	joŋ³	jæuŋ⁴		
	389a		fast	njap⁴²		mjæp³			
	390a		slow	dzɔ⁵		dzɔ⁴⁵		ta⁵²	
	390b		slow		jɔ̣⁴⁵	ɹɛ⁵³		je³	
	391a		strong	jɔm³	vum³	jɛm²³	ɣam³		
	391b		strong	bɔ³¹	bɔ³¹	bɔ⁵¹	bo³		
	392a		weak	nụk⁵³	njɔ̣m⁵³	nəŋ²	ne⁵		
	393a		tired	njuŋ³	mjuŋ⁵³	mjoŋ³	mjæuŋ⁴⁵		ŋɔ³¹
	394a		blind	dʒɛt³¹	dʒɪt³²	dʒe⁴⁵	dʒit⁵³		sʰi³¹
	396a		bald	la³	laŋ³				
	396b		bald			gjɛ³¹	kjɛ̣t⁵³		
	396c		bald		ŋɔt³²		ŋa³⁴		
	397a		naked	tʃʰjɛn³	tʃʰɪn⁵³	tʃʰen³²	dʒɛ̣t⁵		
	398a		good	gi³¹	ge³¹	ge³¹	gai²		kɔŋ³¹
	402a		when?	kʰa⁴	kʰət⁴³	kʰa²⁴	kʰö⁵		
	402b		when?	nạmp⁵²	nạm³²	næ̣p⁴²			
	403a		where?			mɔ²¹			
	403b		where?	dje³			dau⁵¹		
	404a		who?	haŋk⁵⁴		haŋ⁴		kʰak³	
	404b		who?			ŋọị³¹	ŋat³²		
	405a		what?	tʃʰa³	dʒuŋ⁵²	tʃʰɛ⁵³			
	405b		what?		ha⁵				
	406a		how many?	njɔ̣ɂ⁵³					
